title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,treatment_protocol_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,data_processing,data_processing.1,platform_id,contact_name,contact_email,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,supplementary_file,data_row_count,cell type:ch1,condition:ch1,tissue:ch1
Normoandrogenic PCOS s1,GSM4084711,Public on Sep 19 2019,Sep 18 2019,Sep 19 2019,RNA,1,NA-1,Homo sapiens,tissue: ovary,cell type: granusola cells,condition: Normoandrogenic PCOS,"Control and PCOS patient ovaries were stimulated with recombinant follicle-stimulating hormone (FSH) (Merck-Serono, Switzerland) after pretreatment with gonadotropin-releasing hormone agonist (Diphereline, Ipsen Pharma Biotech, France) .",total RNA,"When at least 1 follicle grew to 18 mm in diameter, 250 μg of recombinant hCG (Ovidrel, Merck-Serono, Switzerland) was administered, and oocyte retrieval was performed 34–36 hours later. The granulosa cell samples were centrifuged at 12,000 g for 10 minutes to remove blood, and the remaining fluid was used in subsequent studies.",Cy3,The sample labeling was performed based on the manufacturer’s standard protocols.,9606,The sample microarray hybridization and washing were performed based on the manufacturer’s standard protocols.,"After washing, the arrays were scanned by the Agilent Scanner G2505C(Agilent Technologies).","Feature Extraction software (version10.7.1.1, Agilent Technologies) was used to analyze array images to get raw data. Genespring(version13.1,Agilent Technologies)were employed to finish the basic analysis with the raw data. To begin with, the raw data was normalized with the quantile algorithm.",The probes that at least 75% of the values in any 1 out of all conditions have flags in Detected were chosen for further data analysis. Differentially expressed genes were then identified through fold change as well as P value calculated with t-test. The threshold set for up- and down-regulated genes was a fold change>= 2.0 and a P value<= 0.05.,GPL17077,"Wensu,,Liu",wsliu@cmu.edu.cn,China Medical University,"77 Puhe Road, Shenyang North New Area",Shenyang,Liaoning,110122,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4084nnn/GSM4084711/suppl/GSM4084711_1.txt.gz,50739,granusola cells,Normoandrogenic PCOS,ovary
Normal s3,GSM4084712,Public on Sep 19 2019,Sep 18 2019,Sep 19 2019,RNA,1,Normal-1,Homo sapiens,tissue: ovary,cell type: granusola cells,condition: Normal,"Control and PCOS patient ovaries were stimulated with recombinant follicle-stimulating hormone (FSH) (Merck-Serono, Switzerland) after pretreatment with gonadotropin-releasing hormone agonist (Diphereline, Ipsen Pharma Biotech, France) .",total RNA,"When at least 1 follicle grew to 18 mm in diameter, 250 μg of recombinant hCG (Ovidrel, Merck-Serono, Switzerland) was administered, and oocyte retrieval was performed 34–36 hours later. The granulosa cell samples were centrifuged at 12,000 g for 10 minutes to remove blood, and the remaining fluid was used in subsequent studies.",Cy3,The sample labeling was performed based on the manufacturer’s standard protocols.,9606,The sample microarray hybridization and washing were performed based on the manufacturer’s standard protocols.,"After washing, the arrays were scanned by the Agilent Scanner G2505C(Agilent Technologies).","Feature Extraction software (version10.7.1.1, Agilent Technologies) was used to analyze array images to get raw data. Genespring(version13.1,Agilent Technologies)were employed to finish the basic analysis with the raw data. To begin with, the raw data was normalized with the quantile algorithm.",The probes that at least 75% of the values in any 1 out of all conditions have flags in Detected were chosen for further data analysis. Differentially expressed genes were then identified through fold change as well as P value calculated with t-test. The threshold set for up- and down-regulated genes was a fold change>= 2.0 and a P value<= 0.05.,GPL17077,"Wensu,,Liu",wsliu@cmu.edu.cn,China Medical University,"77 Puhe Road, Shenyang North New Area",Shenyang,Liaoning,110122,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4084nnn/GSM4084712/suppl/GSM4084712_3.txt.gz,50739,granusola cells,Normal,ovary
Hyperandrogenic PCOS s5,GSM4084713,Public on Sep 19 2019,Sep 18 2019,Sep 19 2019,RNA,1,HA-1,Homo sapiens,tissue: ovary,cell type: granusola cells,condition: Hyperandrogenic PCOS,"Control and PCOS patient ovaries were stimulated with recombinant follicle-stimulating hormone (FSH) (Merck-Serono, Switzerland) after pretreatment with gonadotropin-releasing hormone agonist (Diphereline, Ipsen Pharma Biotech, France) .",total RNA,"When at least 1 follicle grew to 18 mm in diameter, 250 μg of recombinant hCG (Ovidrel, Merck-Serono, Switzerland) was administered, and oocyte retrieval was performed 34–36 hours later. The granulosa cell samples were centrifuged at 12,000 g for 10 minutes to remove blood, and the remaining fluid was used in subsequent studies.",Cy3,The sample labeling was performed based on the manufacturer’s standard protocols.,9606,The sample microarray hybridization and washing were performed based on the manufacturer’s standard protocols.,"After washing, the arrays were scanned by the Agilent Scanner G2505C(Agilent Technologies).","Feature Extraction software (version10.7.1.1, Agilent Technologies) was used to analyze array images to get raw data. Genespring(version13.1,Agilent Technologies)were employed to finish the basic analysis with the raw data. To begin with, the raw data was normalized with the quantile algorithm.",The probes that at least 75% of the values in any 1 out of all conditions have flags in Detected were chosen for further data analysis. Differentially expressed genes were then identified through fold change as well as P value calculated with t-test. The threshold set for up- and down-regulated genes was a fold change>= 2.0 and a P value<= 0.05.,GPL17077,"Wensu,,Liu",wsliu@cmu.edu.cn,China Medical University,"77 Puhe Road, Shenyang North New Area",Shenyang,Liaoning,110122,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4084nnn/GSM4084713/suppl/GSM4084713_5.txt.gz,50739,granusola cells,Hyperandrogenic PCOS,ovary
Hyperandrogenic PCOS s9,GSM4084714,Public on Sep 19 2019,Sep 18 2019,Sep 19 2019,RNA,1,HA-2,Homo sapiens,tissue: ovary,cell type: granusola cells,condition: Hyperandrogenic PCOS,"Control and PCOS patient ovaries were stimulated with recombinant follicle-stimulating hormone (FSH) (Merck-Serono, Switzerland) after pretreatment with gonadotropin-releasing hormone agonist (Diphereline, Ipsen Pharma Biotech, France) .",total RNA,"When at least 1 follicle grew to 18 mm in diameter, 250 μg of recombinant hCG (Ovidrel, Merck-Serono, Switzerland) was administered, and oocyte retrieval was performed 34–36 hours later. The granulosa cell samples were centrifuged at 12,000 g for 10 minutes to remove blood, and the remaining fluid was used in subsequent studies.",Cy3,The sample labeling was performed based on the manufacturer’s standard protocols.,9606,The sample microarray hybridization and washing were performed based on the manufacturer’s standard protocols.,"After washing, the arrays were scanned by the Agilent Scanner G2505C(Agilent Technologies).","Feature Extraction software (version10.7.1.1, Agilent Technologies) was used to analyze array images to get raw data. Genespring(version13.1,Agilent Technologies)were employed to finish the basic analysis with the raw data. To begin with, the raw data was normalized with the quantile algorithm.",The probes that at least 75% of the values in any 1 out of all conditions have flags in Detected were chosen for further data analysis. Differentially expressed genes were then identified through fold change as well as P value calculated with t-test. The threshold set for up- and down-regulated genes was a fold change>= 2.0 and a P value<= 0.05.,GPL17077,"Wensu,,Liu",wsliu@cmu.edu.cn,China Medical University,"77 Puhe Road, Shenyang North New Area",Shenyang,Liaoning,110122,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4084nnn/GSM4084714/suppl/GSM4084714_9.txt.gz,50739,granusola cells,Hyperandrogenic PCOS,ovary
Hyperandrogenic PCOS s10,GSM4084715,Public on Sep 19 2019,Sep 18 2019,Sep 19 2019,RNA,1,HA-3,Homo sapiens,tissue: ovary,cell type: granusola cells,condition: Hyperandrogenic PCOS,"Control and PCOS patient ovaries were stimulated with recombinant follicle-stimulating hormone (FSH) (Merck-Serono, Switzerland) after pretreatment with gonadotropin-releasing hormone agonist (Diphereline, Ipsen Pharma Biotech, France) .",total RNA,"When at least 1 follicle grew to 18 mm in diameter, 250 μg of recombinant hCG (Ovidrel, Merck-Serono, Switzerland) was administered, and oocyte retrieval was performed 34–36 hours later. The granulosa cell samples were centrifuged at 12,000 g for 10 minutes to remove blood, and the remaining fluid was used in subsequent studies.",Cy3,The sample labeling was performed based on the manufacturer’s standard protocols.,9606,The sample microarray hybridization and washing were performed based on the manufacturer’s standard protocols.,"After washing, the arrays were scanned by the Agilent Scanner G2505C(Agilent Technologies).","Feature Extraction software (version10.7.1.1, Agilent Technologies) was used to analyze array images to get raw data. Genespring(version13.1,Agilent Technologies)were employed to finish the basic analysis with the raw data. To begin with, the raw data was normalized with the quantile algorithm.",The probes that at least 75% of the values in any 1 out of all conditions have flags in Detected were chosen for further data analysis. Differentially expressed genes were then identified through fold change as well as P value calculated with t-test. The threshold set for up- and down-regulated genes was a fold change>= 2.0 and a P value<= 0.05.,GPL17077,"Wensu,,Liu",wsliu@cmu.edu.cn,China Medical University,"77 Puhe Road, Shenyang North New Area",Shenyang,Liaoning,110122,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4084nnn/GSM4084715/suppl/GSM4084715_10.txt.gz,50739,granusola cells,Hyperandrogenic PCOS,ovary
Normal s12,GSM4084716,Public on Sep 19 2019,Sep 18 2019,Sep 19 2019,RNA,1,Normal-2,Homo sapiens,tissue: ovary,cell type: granusola cells,condition: Normal,"Control and PCOS patient ovaries were stimulated with recombinant follicle-stimulating hormone (FSH) (Merck-Serono, Switzerland) after pretreatment with gonadotropin-releasing hormone agonist (Diphereline, Ipsen Pharma Biotech, France) .",total RNA,"When at least 1 follicle grew to 18 mm in diameter, 250 μg of recombinant hCG (Ovidrel, Merck-Serono, Switzerland) was administered, and oocyte retrieval was performed 34–36 hours later. The granulosa cell samples were centrifuged at 12,000 g for 10 minutes to remove blood, and the remaining fluid was used in subsequent studies.",Cy3,The sample labeling was performed based on the manufacturer’s standard protocols.,9606,The sample microarray hybridization and washing were performed based on the manufacturer’s standard protocols.,"After washing, the arrays were scanned by the Agilent Scanner G2505C(Agilent Technologies).","Feature Extraction software (version10.7.1.1, Agilent Technologies) was used to analyze array images to get raw data. Genespring(version13.1,Agilent Technologies)were employed to finish the basic analysis with the raw data. To begin with, the raw data was normalized with the quantile algorithm.",The probes that at least 75% of the values in any 1 out of all conditions have flags in Detected were chosen for further data analysis. Differentially expressed genes were then identified through fold change as well as P value calculated with t-test. The threshold set for up- and down-regulated genes was a fold change>= 2.0 and a P value<= 0.05.,GPL17077,"Wensu,,Liu",wsliu@cmu.edu.cn,China Medical University,"77 Puhe Road, Shenyang North New Area",Shenyang,Liaoning,110122,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4084nnn/GSM4084716/suppl/GSM4084716_12.txt.gz,50739,granusola cells,Normal,ovary
Hyperandrogenic PCOS s13,GSM4084717,Public on Sep 19 2019,Sep 18 2019,Sep 19 2019,RNA,1,HA-4,Homo sapiens,tissue: ovary,cell type: granusola cells,condition: Hyperandrogenic PCOS,"Control and PCOS patient ovaries were stimulated with recombinant follicle-stimulating hormone (FSH) (Merck-Serono, Switzerland) after pretreatment with gonadotropin-releasing hormone agonist (Diphereline, Ipsen Pharma Biotech, France) .",total RNA,"When at least 1 follicle grew to 18 mm in diameter, 250 μg of recombinant hCG (Ovidrel, Merck-Serono, Switzerland) was administered, and oocyte retrieval was performed 34–36 hours later. The granulosa cell samples were centrifuged at 12,000 g for 10 minutes to remove blood, and the remaining fluid was used in subsequent studies.",Cy3,The sample labeling was performed based on the manufacturer’s standard protocols.,9606,The sample microarray hybridization and washing were performed based on the manufacturer’s standard protocols.,"After washing, the arrays were scanned by the Agilent Scanner G2505C(Agilent Technologies).","Feature Extraction software (version10.7.1.1, Agilent Technologies) was used to analyze array images to get raw data. Genespring(version13.1,Agilent Technologies)were employed to finish the basic analysis with the raw data. To begin with, the raw data was normalized with the quantile algorithm.",The probes that at least 75% of the values in any 1 out of all conditions have flags in Detected were chosen for further data analysis. Differentially expressed genes were then identified through fold change as well as P value calculated with t-test. The threshold set for up- and down-regulated genes was a fold change>= 2.0 and a P value<= 0.05.,GPL17077,"Wensu,,Liu",wsliu@cmu.edu.cn,China Medical University,"77 Puhe Road, Shenyang North New Area",Shenyang,Liaoning,110122,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4084nnn/GSM4084717/suppl/GSM4084717_13.txt.gz,50739,granusola cells,Hyperandrogenic PCOS,ovary
Normal s14,GSM4084718,Public on Sep 19 2019,Sep 18 2019,Sep 19 2019,RNA,1,Normal-3,Homo sapiens,tissue: ovary,cell type: granusola cells,condition: Normal,"Control and PCOS patient ovaries were stimulated with recombinant follicle-stimulating hormone (FSH) (Merck-Serono, Switzerland) after pretreatment with gonadotropin-releasing hormone agonist (Diphereline, Ipsen Pharma Biotech, France) .",total RNA,"When at least 1 follicle grew to 18 mm in diameter, 250 μg of recombinant hCG (Ovidrel, Merck-Serono, Switzerland) was administered, and oocyte retrieval was performed 34–36 hours later. The granulosa cell samples were centrifuged at 12,000 g for 10 minutes to remove blood, and the remaining fluid was used in subsequent studies.",Cy3,The sample labeling was performed based on the manufacturer’s standard protocols.,9606,The sample microarray hybridization and washing were performed based on the manufacturer’s standard protocols.,"After washing, the arrays were scanned by the Agilent Scanner G2505C(Agilent Technologies).","Feature Extraction software (version10.7.1.1, Agilent Technologies) was used to analyze array images to get raw data. Genespring(version13.1,Agilent Technologies)were employed to finish the basic analysis with the raw data. To begin with, the raw data was normalized with the quantile algorithm.",The probes that at least 75% of the values in any 1 out of all conditions have flags in Detected were chosen for further data analysis. Differentially expressed genes were then identified through fold change as well as P value calculated with t-test. The threshold set for up- and down-regulated genes was a fold change>= 2.0 and a P value<= 0.05.,GPL17077,"Wensu,,Liu",wsliu@cmu.edu.cn,China Medical University,"77 Puhe Road, Shenyang North New Area",Shenyang,Liaoning,110122,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4084nnn/GSM4084718/suppl/GSM4084718_14.txt.gz,50739,granusola cells,Normal,ovary
Normal s15,GSM4084719,Public on Sep 19 2019,Sep 18 2019,Sep 19 2019,RNA,1,Normal-4,Homo sapiens,tissue: ovary,cell type: granusola cells,condition: Normal,"Control and PCOS patient ovaries were stimulated with recombinant follicle-stimulating hormone (FSH) (Merck-Serono, Switzerland) after pretreatment with gonadotropin-releasing hormone agonist (Diphereline, Ipsen Pharma Biotech, France) .",total RNA,"When at least 1 follicle grew to 18 mm in diameter, 250 μg of recombinant hCG (Ovidrel, Merck-Serono, Switzerland) was administered, and oocyte retrieval was performed 34–36 hours later. The granulosa cell samples were centrifuged at 12,000 g for 10 minutes to remove blood, and the remaining fluid was used in subsequent studies.",Cy3,The sample labeling was performed based on the manufacturer’s standard protocols.,9606,The sample microarray hybridization and washing were performed based on the manufacturer’s standard protocols.,"After washing, the arrays were scanned by the Agilent Scanner G2505C(Agilent Technologies).","Feature Extraction software (version10.7.1.1, Agilent Technologies) was used to analyze array images to get raw data. Genespring(version13.1,Agilent Technologies)were employed to finish the basic analysis with the raw data. To begin with, the raw data was normalized with the quantile algorithm.",The probes that at least 75% of the values in any 1 out of all conditions have flags in Detected were chosen for further data analysis. Differentially expressed genes were then identified through fold change as well as P value calculated with t-test. The threshold set for up- and down-regulated genes was a fold change>= 2.0 and a P value<= 0.05.,GPL17077,"Wensu,,Liu",wsliu@cmu.edu.cn,China Medical University,"77 Puhe Road, Shenyang North New Area",Shenyang,Liaoning,110122,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4084nnn/GSM4084719/suppl/GSM4084719_15.txt.gz,50739,granusola cells,Normal,ovary
Normoandrogenic PCOS s16,GSM4084720,Public on Sep 19 2019,Sep 18 2019,Sep 19 2019,RNA,1,NA-2,Homo sapiens,tissue: ovary,cell type: granusola cells,condition: Normoandrogenic PCOS,"Control and PCOS patient ovaries were stimulated with recombinant follicle-stimulating hormone (FSH) (Merck-Serono, Switzerland) after pretreatment with gonadotropin-releasing hormone agonist (Diphereline, Ipsen Pharma Biotech, France) .",total RNA,"When at least 1 follicle grew to 18 mm in diameter, 250 μg of recombinant hCG (Ovidrel, Merck-Serono, Switzerland) was administered, and oocyte retrieval was performed 34–36 hours later. The granulosa cell samples were centrifuged at 12,000 g for 10 minutes to remove blood, and the remaining fluid was used in subsequent studies.",Cy3,The sample labeling was performed based on the manufacturer’s standard protocols.,9606,The sample microarray hybridization and washing were performed based on the manufacturer’s standard protocols.,"After washing, the arrays were scanned by the Agilent Scanner G2505C(Agilent Technologies).","Feature Extraction software (version10.7.1.1, Agilent Technologies) was used to analyze array images to get raw data. Genespring(version13.1,Agilent Technologies)were employed to finish the basic analysis with the raw data. To begin with, the raw data was normalized with the quantile algorithm.",The probes that at least 75% of the values in any 1 out of all conditions have flags in Detected were chosen for further data analysis. Differentially expressed genes were then identified through fold change as well as P value calculated with t-test. The threshold set for up- and down-regulated genes was a fold change>= 2.0 and a P value<= 0.05.,GPL17077,"Wensu,,Liu",wsliu@cmu.edu.cn,China Medical University,"77 Puhe Road, Shenyang North New Area",Shenyang,Liaoning,110122,China,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4084nnn/GSM4084720/suppl/GSM4084720_16.txt.gz,50739,granusola cells,Normoandrogenic PCOS,ovary
