"title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","platform_id","contact_name","contact_email","contact_phone","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell type:ch1","treatment:ch1"
"Control1","GSM8534278","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907405","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188044","NONE","cumulus cells","control"
"Control2","GSM8534279","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907404","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188045","NONE","cumulus cells","control"
"Control3","GSM8534280","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907403","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188046","NONE","cumulus cells","control"
"Control4","GSM8534281","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907402","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188047","NONE","cumulus cells","control"
"Control5","GSM8534282","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907401","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188048","NONE","cumulus cells","control"
"Control6","GSM8534283","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907400","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188049","NONE","cumulus cells","control"
"Control7","GSM8534284","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907399","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188050","NONE","cumulus cells","control"
"Control8","GSM8534285","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907398","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188051","NONE","cumulus cells","control"
"Control9","GSM8534286","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907397","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188052","NONE","cumulus cells","control"
"Control10","GSM8534287","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907396","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188053","NONE","cumulus cells","control"
