"sample","mean_dist","z","outlier","dataset","n_probes","n_samples","PC1","PC2"
"GSM4084711",238.293367305462,0.3766716705141,FALSE,"GSE137684",50739,12,-21.7649845092054,8.0893172767563
"GSM4084712",194.614893045587,-0.473345568172817,FALSE,"GSE137684",50739,12,1.32527558151111,10.5308666442176
"GSM4084713",193.507125554035,-0.494903589148401,FALSE,"GSE137684",50739,12,2.7747823992185,7.25966288273589
"GSM4084714",201.240446086896,-0.344407128898596,FALSE,"GSE137684",50739,12,-0.157431965539646,8.99728972316634
"GSM4084715",194.495331571072,-0.475672327890095,FALSE,"GSE137684",50739,12,3.68296979479228,10.7668157531969
"GSM4084716",197.667185491046,-0.413945572176682,FALSE,"GSE137684",50739,12,0.558001404153236,-11.7705187017876
"GSM4084717",201.929671372816,-0.330994266286116,FALSE,"GSE137684",50739,12,3.51232329592724,-12.1285421614598
"GSM4084718",207.747237886753,-0.217779876180993,FALSE,"GSE137684",50739,12,15.6975983931713,-11.9454004706665
"GSM4084719",209.694735379713,-0.179880053227783,FALSE,"GSE137684",50739,12,13.5711484981633,-6.64577359680498
"GSM4084720",222.677286705973,0.0727705399179813,FALSE,"GSE137684",50739,12,8.40260250868558,8.77281228795674
"GSM4084721",376.035826771632,3.05724756125525,TRUE,"GSE137684",50739,12,-29.4867491644039,-12.0925846831259
"GSM4084722",189.352215277375,-0.575761389705848,FALSE,"GSE137684",50739,12,1.88446376352632,0.166055045815027
