Gene_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,Is_Significant,Gene_Class
A1BG,694.9073715512384,-3.5329647247852104e-6,0.001442658450994338,0.5025742635039527,0.9745358445339665,FALSE,Not Significant
A1BG-AS1,419.64899801330694,-4.364601948905959e-6,0.0014426219028290707,0.556174078420721,0.9749914721482018,FALSE,Not Significant
A2M,63.311334906684664,-1.6862567169903941,0.37667538760054564,0.006396205674735621,0.40162103237222274,FALSE,Not Significant
A2M-AS1,8.4112229826985,3.102817075221761e-6,0.0014426934801283428,0.04061447480720677,0.7642170536179063,FALSE,Not Significant
A2ML1,4.918874414147517,3.9469598477674536e-7,0.0014426923244152965,0.7798745150574301,0.9835903483219821,FALSE,Not Significant
A3GALT2,2.579738397059375,-2.1957136635570765e-7,0.0014426932385419272,0.845467232489508,NA,FALSE,Not Significant
A4GALT,932.0414766039994,-1.1296248583093898e-5,0.0014426903393520577,0.010584653216394279,0.5072673399095549,FALSE,Not Significant
AAAS,643.9957262909568,-6.965812393640319e-6,0.0014425546386569012,0.5002865132446731,0.9745358445339665,FALSE,Not Significant
AACS,1909.8794184627918,-1.9669386066047377e-6,0.0014426237471348179,0.7834675599953664,0.9841728809479537,FALSE,Not Significant
AADAC,7242.472170550369,1.711736054787039e-6,0.0014426792133044567,0.6164334450220083,0.9795409913114117,FALSE,Not Significant
AADACL2,0.07977181592037219,-1.6762771251977072e-7,0.0014426949362300915,0.9092202010467729,NA,FALSE,Not Significant
AADACL2-AS1,0.6769358907566063,9.206539436342048e-8,0.0014426945016084145,0.8494335960553474,NA,FALSE,Not Significant
AADACL4,0.6019839553478756,-9.063086859169545e-9,0.0014426948834719234,0.7671272820457838,NA,FALSE,Not Significant
AADAT,54.001313271663015,-5.37032207477171e-6,0.0014426529241407656,0.35575879832529,0.957128130374997,FALSE,Not Significant
AAGAB,1923.4774661542156,-4.777790239982633e-6,0.001442512481253654,0.6796912887105628,0.9802205185694565,FALSE,Not Significant
AAK1,2566.305872001492,1.9856517400881865e-6,0.001442575688919003,0.832261813414448,0.9871196041538265,FALSE,Not Significant
AAMDC,718.1988244443769,-2.665773948338132e-6,0.0014426134810228025,0.9983354536645249,0.9995901614820005,FALSE,Not Significant
AAMP,4734.082217320512,-1.4980333399431122e-5,0.0014423929824407629,0.33942517303632713,0.9535313811168485,FALSE,Not Significant
AANAT,1.295906999012262,8.859817333287814e-7,0.0014426936339029192,0.005643664730861691,NA,FALSE,Not Significant
AAR2,3567.2478018403363,7.0386211659702265e-6,0.0014425756955230666,0.46534375305238335,0.969632718548309,FALSE,Not Significant
AARD,41.435931350995226,4.651890213889135e-6,0.0014426898535473242,0.07016409952673641,0.8414861346524272,FALSE,Not Significant
AARS1,3423.709306902755,-7.4134285333194e-7,0.001442647920504891,0.8967684863667807,0.9905620737243964,FALSE,Not Significant
AARS2,530.6731670197668,-1.7500668632080012e-6,0.0014425245894807881,0.8734312104855825,0.9873407478340492,FALSE,Not Significant
AARSD1,0.025720522213951796,8.517893765958587e-8,0.0014426950058922102,0.9957663980212714,NA,FALSE,Not Significant
AASDH,238.20248888969826,1.8864480850268206e-6,0.001442547956078882,0.8558355427453582,0.9873407478340492,FALSE,Not Significant
AASDHPPT,943.4688226841023,1.7986588821741016e-5,0.001442570423219788,0.115523646752855,0.8890001699867535,FALSE,Not Significant
AASS,1560.055683370226,1.2152874747494638e-6,0.00144266950892721,0.7794921392316376,0.9835903483219821,FALSE,Not Significant
AATBC,0.4604140937564532,-4.560758392751599e-7,0.0014426948421676488,0.4086172811774884,NA,FALSE,Not Significant
AATF,2965.666848459892,-4.560345864600075e-6,0.0014425678931547024,0.6380221124450547,0.9802205185694565,FALSE,Not Significant
AATK,150.72016077089592,-8.486376754201953e-6,0.001442677686692034,0.0679188643826143,0.8305534745853841,FALSE,Not Significant
ABALON,12.266933548868233,6.495424597644752e-6,0.0014426865953492424,0.055414861192774424,0.804272004171581,FALSE,Not Significant
ABAT,2997.3229338690035,1.1236107052812968e-6,0.0014426297836645785,0.8719088180478802,0.9873407478340492,FALSE,Not Significant
ABCA1,2093.699363348534,-1.3749703114256841e-7,0.001442681585945192,0.9612906537983316,0.9979330025686255,FALSE,Not Significant
ABCA10,40.888536437987334,3.123164154473708e-7,0.0014426867659786896,0.8989728512572419,0.9908227104403895,FALSE,Not Significant
ABCA12,12.802643127001891,1.1913965568496716e-6,0.0014426858447468094,0.6485368002502774,0.9802205185694565,FALSE,Not Significant
ABCA13,3.3128935431753535,-1.6083881248908182e-6,0.0014426936439845058,0.15607083639592503,NA,FALSE,Not Significant
ABCA2,1315.6082637472932,-8.40674277127688e-6,0.0014426086079650869,0.31682863302822717,0.9495545697492779,FALSE,Not Significant
ABCA3,1808.8335672223336,4.2455361034724004e-7,0.0014425889893051552,0.9623790006511022,0.9979330025686255,FALSE,Not Significant
ABCA4,3.204590295540489,-1.7989503844678458e-6,0.0014426950397203632,0.028719318532761714,NA,FALSE,Not Significant
ABCA5,701.1808098526307,-1.551601039102501e-6,0.0014426686625901841,0.7224620846627225,0.9802205185694565,FALSE,Not Significant
ABCA6,1076.7955697681152,3.866143541803646e-6,0.001442681407271504,0.27222180370340504,0.9425830200847998,FALSE,Not Significant
ABCA7,533.9984877959218,-1.0270687201919057e-5,0.0014426950903533775,0.0056196797098168935,0.3877904909441049,FALSE,Not Significant
ABCA8,1935.5609923334337,5.008958091131949e-6,0.001442686208673398,0.10688026950563193,0.8802251695344706,FALSE,Not Significant
ABCA9,180.2001025996625,7.599439802198602e-6,0.0014426898018423877,0.022816481196166378,0.6611726493131006,FALSE,Not Significant
ABCB1,71.45979130179333,-7.467256798421443e-7,0.0014426930082533935,0.4479334909613567,0.969632718548309,FALSE,Not Significant
ABCB10,411.17613110353693,2.8465084147763197e-6,0.0014426039645392811,0.7281860458684288,0.9804590957474899,FALSE,Not Significant
ABCB11,3.1044562947637133,-1.3657201568066555e-7,0.0014426926579659246,0.907548362876089,NA,FALSE,Not Significant
ABCB4,9.49088630894883,-6.227170847472832e-6,0.0014426929377711118,0.01444974995401163,0.5628452422047173,FALSE,Not Significant
ABCB5,0.04590497134961865,-4.745296322781734e-8,0.0014426949685461985,0.9524231446418571,NA,FALSE,Not Significant
ABCB6,1424.9770517616607,-8.08532035058287e-6,0.001442643172665838,0.2312721760673956,0.9369526205721378,FALSE,Not Significant
ABCB7,592.848290038972,1.0063865026326898e-5,0.0014425347421922654,0.37375825136392116,0.9583535791966397,FALSE,Not Significant
ABCB8,1614.7803742516458,-9.125796686993313e-6,0.0014426608519889463,0.12329175388389693,0.8944219252416035,FALSE,Not Significant
ABCB9,211.82164718231763,1.259219917102536e-6,0.0014426689096139146,0.7710323936385933,0.9820879521154962,FALSE,Not Significant
ABCC1,2754.279919830087,6.3966327934770444e-6,0.001442636942315082,0.3484325370686887,0.9539413255333002,FALSE,Not Significant
ABCC10,794.9236351711863,3.5520528679312827e-6,0.0014425646486036121,0.7157763147433367,0.9802205185694565,FALSE,Not Significant
ABCC11,4.266099169973468,-4.247245264610031e-7,0.0014426912407966544,0.7680751351085615,0.9820510132960961,FALSE,Not Significant
ABCC12,0.26813675941464893,-1.2601780187384183e-7,0.0014426949096036554,0.9963694575071804,NA,FALSE,Not Significant
ABCC2,24.17373201922597,5.99993948445448e-7,0.0014426849495633816,0.8261939742025848,0.9870772475053758,FALSE,Not Significant
ABCC3,4510.981769891966,2.9807065728724404e-6,0.0014426602099857477,0.562370434697822,0.9750268195238267,FALSE,Not Significant
ABCC4,3083.215288335337,6.577982360053703e-7,0.0014426718225721944,0.8749823967946826,0.9873407478340492,FALSE,Not Significant
ABCC5,1034.798478724339,8.11647742190426e-6,0.0014426451831824716,0.21920065666249935,0.9368690957491975,FALSE,Not Significant
ABCC6,22.145627148832133,-1.109942904823986e-6,0.001442687243619234,0.641006925420585,0.9802205185694565,FALSE,Not Significant
ABCC8,0.30374603068883405,2.853961680849235e-7,0.0014426950346637737,0.7239915831815752,NA,FALSE,Not Significant
ABCC9,35.79284537404866,6.540399864011622e-6,0.0014426879870410617,0.0448430264687139,0.7832459772056447,FALSE,Not Significant
ABCD1,1846.9361818501363,4.908372013620054e-6,0.0014425487265046894,0.6388128191361471,0.9802205185694565,FALSE,Not Significant
ABCD2,1.8346704850625069,2.0552765187557522e-7,0.0014426929894243543,0.8762417862488993,NA,FALSE,Not Significant
ABCD3,3163.951543737131,8.163044136390714e-6,0.0014425766897818507,0.399881474890148,0.9635663632943818,FALSE,Not Significant
ABCD4,901.5698836651393,6.124187350070349e-6,0.0014425873846442467,0.5010925371642405,0.9745358445339665,FALSE,Not Significant
ABCE1,2112.697639780756,1.5001302190671952e-5,0.0014426043238039026,0.11977773761916677,0.8939027942443555,FALSE,Not Significant
ABCF1,2603.411161382469,-2.7936345907902787e-5,0.0014425908236294768,0.033797334721964375,0.7461470992779362,FALSE,Not Significant
ABCF1-DT,1.810133996912572,-2.748041596732894e-7,0.001442692210961665,0.8078727027346471,NA,FALSE,Not Significant
ABCF2,912.6521049708786,-6.903052054867053e-6,0.0014426288626964421,0.3458578194548395,0.9535313811168485,FALSE,Not Significant
ABCF3,1686.3381768136367,-1.835414487408557e-5,0.0014424279376948554,0.23126476204554472,0.9369526205721378,FALSE,Not Significant
ABCG1,80.33559649046005,-4.307314747865096e-6,0.0014426949715503287,0.007545757240583361,0.4338590857251257,FALSE,Not Significant
ABCG2,14.041503482518893,-9.850398491374803e-7,0.0014426867953932162,0.6883777898236336,0.9802205185694565,FALSE,Not Significant
ABCG4,69.425147398124,2.9926668399560057e-6,0.001442680831972452,0.37321495250815256,0.9583230630832541,FALSE,Not Significant
ABCG5,0.44358307057685814,2.4479456613990046e-7,0.0014426950043520774,0.6458500049838228,NA,FALSE,Not Significant
ABCG8,1.3087697749368086,5.147525001355617e-7,0.0014426948301263951,0.19658783858445264,NA,FALSE,Not Significant
ABHD1,15.705719951269732,-5.4067878530979716e-6,0.0014426887637974347,0.058855806504424964,0.8099156984025139,FALSE,Not Significant
ABHD10,549.9258261559434,8.504591197253968e-7,0.0014426062796989699,0.9166537317054697,0.9939698954068035,FALSE,Not Significant
ABHD11,2346.6083236234404,-7.003809441905578e-6,0.0014426472126475873,0.2719778995207319,0.9425830200847998,FALSE,Not Significant
