"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048545","response to steroid hormone","15/51","343/18860",0.043731778425656,16.1721831589779,14.7662898392657,1.02402406090555e-14,2.36344753257e-11,1.25038727436888e-11,"2908/4306/1843/5187/6446/3291/1392/2353/3725/687/3303/3304/3569/7124/5970",15
"GO:0002237","response to molecule of bacterial origin","15/51","375/18860",0.04,14.7921568627451,14.0475200091907,3.78221756364953e-14,4.36467906845156e-11,2.30914335464919e-11,"1051/2353/3576/1432/1728/6648/3569/7124/2920/6374/3627/6347/5599/4790/5970",15
"GO:0009408","response to heat","10/51","103/18860",0.0970873786407767,35.9032933561774,18.4954497177904,1.60150029330423e-13,1.23208755898206e-10,6.51838715871196e-11,"3303/3304/3315/3162/51278/3320/3326/6647/2729/3627",10
"GO:0032496","response to lipopolysaccharide","14/51","350/18860",0.04,14.7921568627451,13.5620257853847,3.08365072130509e-13,1.77926646619304e-10,9.41324957029976e-11,"1051/2353/3576/1432/1728/6648/3569/7124/6374/3627/6347/5599/4790/5970",14
"GO:0006979","response to oxidative stress","14/51","418/18860",0.0334928229665072,12.3857772774181,12.2576828734474,3.40718781674883e-12,1.57275789621126e-09,8.32071129984978e-10,"1843/2353/3303/3304/3162/1728/6647/6648/847/2729/2730/3569/5599/5970",14
"GO:2000630","positive regulation of miRNA metabolic process","8/51","65/18860",0.123076923076923,45.5143288084465,18.7196147972874,7.22110512225455e-12,2.77771843702725e-09,1.46955823540619e-09,"2908/2353/3725/3569/7124/5468/4790/5970",8
"GO:0071222","cellular response to lipopolysaccharide","11/51","229/18860",0.0480349344978166,17.7635071495847,13.2900344692887,2.06704122860444e-11,6.81533022231293e-09,3.60566590252805e-09,"1051/3576/1432/3569/7124/6374/3627/6347/5599/4790/5970",11
"GO:0009266","response to temperature stimulus","10/51","175/18860",0.0571428571428571,21.1316526610644,13.9320000413774,3.36121120162903e-11,9.69709431669974e-09,5.1302697288022e-09,"3303/3304/3315/3162/51278/3320/3326/6647/2729/3627",10
"GO:0071219","cellular response to molecule of bacterial origin","11/51","247/18860",0.0445344129554656,16.4690005556879,12.7427777371921,4.66998565383144e-11,1.19759187656033e-08,6.33588696894091e-09,"1051/3576/1432/3569/7124/6374/3627/6347/5599/4790/5970",11
"GO:2000628","regulation of miRNA metabolic process","8/51","89/18860",0.0898876404494382,33.240801938753,15.8751814982758,9.62302371175245e-11,2.22099387267247e-08,1.17502184269819e-08,"2908/2353/3725/3569/7124/5468/4790/5970",8
"GO:0009410","response to xenobiotic stimulus","13/51","443/18860",0.0293453724604966,10.8520338157837,10.9264700074498,1.17677853684333e-10,2.46909533003128e-08,1.30628048108925e-08,"3291/1392/2353/3725/3320/1728/6647/6648/847/2729/2730/7124/5970",13
"GO:0071216","cellular response to biotic stimulus","11/51","274/18860",0.0401459854014599,14.8461428366967,12.0218882752916,1.41797188400719e-10,2.563579002997e-08,1.35626728243935e-08,"1051/3576/1432/3569/7124/6374/3627/6347/5599/4790/5970",11
"GO:1902895","positive regulation of miRNA transcription","7/51","56/18860",0.125,46.2254901960784,17.6487414228942,1.44395697742465e-10,2.563579002997e-08,1.35626728243935e-08,"2908/2353/3725/3569/7124/5468/5970",7
"GO:0000302","response to reactive oxygen species","10/51","205/18860",0.0487804878048781,18.0392156862745,12.7729281521402,1.60188615424915e-10,2.57668406124744e-08,1.36320054321218e-08,"1843/2353/3162/1728/6647/6648/847/3569/5599/5970",10
