gene,logFC,P.Value,adj.P.Val
1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 1,0.118544999999997,0.580676634715093,0.999986929681086
1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 2,0.0441275000000001,0.810074077745641,0.999986929681086
1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 3,-0.183577500000002,0.229952808495033,0.999986929681086
1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 4,-0.366837500000001,0.061146248725017,0.999986929681086
1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 5,-0.232452499999997,0.3101404631697,0.999986929681086
1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 6,-0.142852499999997,0.15235862718349,0.999986929681086
1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 9,0.347094999999999,0.385826178732024,0.999986929681086
1-AMINOCYCLOPROPANE-1-CARBOXYLATE SYNTHASE HOMOLOG (ARABIDOPSIS)(NON-FUNCTIONAL),-0.363467499999999,0.089482318755787,0.999986929681086
15 KDA SELENOPROTEIN,0.0523499999999988,0.776035037685564,0.999986929681086
2,0.4201,0.0819965319970513,0.999986929681086
2',-0.10699,0.481250572310709,0.999986929681086
2'-5'-OLIGOADENYLATE SYNTHETASE-LIKE,-0.0236849999999995,0.865088520380464,0.999986929681086
2'-5'-OLIGOADENYLATE SYNTHETASE 1,-0.128332499999999,0.536085540424076,0.999986929681086
2'-5'-OLIGOADENYLATE SYNTHETASE 2,-0.255982499999999,0.120210704879877,0.999986929681086
2'-5'-OLIGOADENYLATE SYNTHETASE 3,0.12763,0.220904748419898,0.999986929681086
2'-DEOXYNUCLEOSIDE 5'-PHOSPHATE N-HYDROLASE 1,-0.225029999999999,0.163082627238081,0.999986929681086
2-AMINOETHANETHIOL (CYSTEAMINE) DIOXYGENASE,-0.267702499999999,0.0620244809247786,0.999986929681086
2-HYDROXYACYL-COA LYASE 1,0.318604999999996,0.0426082599885101,0.999986929681086
2-OXOGLUTARATE AND IRON-DEPENDENT OXYGENASE DOMAIN CONTAINING 1,0.107569999999997,0.393132527069827,0.999986929681086
2-OXOGLUTARATE AND IRON-DEPENDENT OXYGENASE DOMAIN CONTAINING 2,-0.161195000000003,0.134724918732332,0.999986929681086
2-OXOGLUTARATE AND IRON-DEPENDENT OXYGENASE DOMAIN CONTAINING 3,-0.15883,0.122553180864179,0.999986929681086
2-PHOSPHOXYLOSE PHOSPHATASE 1,-0.574262499999999,0.0383268069956207,0.999986929681086
24-DEHYDROCHOLESTEROL REDUCTASE,-0.239795000000004,0.392552874761299,0.999986929681086
3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE SYNTHASE 1,0.177274999999998,0.113873004121133,0.999986929681086
3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE SYNTHASE 2,0.223925000000003,0.0778094325428113,0.999986929681086
3'(2'),0.0949225000000009,0.483930936464579,0.999986929681086
3-HYDROXY-3-METHYLGLUTARYL-COA REDUCTASE,-0.210372500000002,0.628267059391472,0.999986929681086
3-HYDROXY-3-METHYLGLUTARYL-COA SYNTHASE 1 (SOLUBLE),-0.446752500000001,0.288554503295417,0.999986929681086
3-HYDROXY-3-METHYLGLUTARYL-COA SYNTHASE 2 (MITOCHONDRIAL),0.0345050000000011,0.811510927736391,0.999986929681086
3-HYDROXYANTHRANILATE 3,0.1253525,0.275159582098942,0.999986929681086
3-HYDROXYBUTYRATE DEHYDROGENASE,-0.140570000000001,0.246264769474378,0.999986929681086
3-HYDROXYISOBUTYRATE DEHYDROGENASE,0.111425,0.234971042226726,0.999986929681086
3-HYDROXYISOBUTYRYL-COA HYDROLASE,-0.207,0.47107510914024,0.999986929681086
3-HYDROXYMETHYL-3-METHYLGLUTARYL-COA LYASE,-0.139152500000002,0.200565889456828,0.999986929681086
3-HYDROXYMETHYL-3-METHYLGLUTARYL-COA LYASE-LIKE 1,-0.0613025,0.518813105312629,0.999986929681086
3-KETODIHYDROSPHINGOSINE REDUCTASE,-0.1953525,0.174241585747146,0.999986929681086
3-OXOACID COA TRANSFERASE 1,0.140282500000001,0.547381123651846,0.999986929681086
3-OXOACID COA TRANSFERASE 2,-0.175420000000001,0.444000342429532,0.999986929681086
3-OXOACYL-ACP SYNTHASE,-0.144690000000004,0.450300584645628,0.999986929681086
3-PHOSPHOINOSITIDE-DEPENDENT PROTEIN KINASE 1-LIKE,-0.106052500000001,0.432739956442209,0.999986929681086
3-PHOSPHOINOSITIDE DEPENDENT PROTEIN KINASE 1,0.0720150000000013,0.533412062034529,0.999986929681086
4-AMINOBUTYRATE AMINOTRANSFERASE,0.117095,0.595790385053453,0.999986929681086
4-HYDROXY-2-OXOGLUTARATE ALDOLASE 1,-0.0113824999999999,0.959674764317047,0.999986929681086
4-HYDROXYPHENYLPYRUVATE DIOXYGENASE,0.164432500000001,0.136081598396604,0.999986929681086
4-HYDROXYPHENYLPYRUVATE DIOXYGENASE-LIKE,0.0165775000000004,0.914846310885341,0.999986929681086
40S RIBOSOMAL PROTEIN S26-LIKE,0.0251500000000036,0.827180513397665,0.999986929681086
5,0.0864674999999977,0.477983472427628,0.999986929681086
5',0.155042500000001,0.202397032529256,0.999986929681086
5'-3' EXORIBONUCLEASE 1,-0.237939999999997,0.477451798045068,0.999986929681086
5'-3' EXORIBONUCLEASE 2,-0.0575375000000005,0.826143336822279,0.999986929681086
5'-NUCLEOTIDASE,0.366725000000001,0.0287627318549572,0.999986929681086
5'-NUCLEOTIDASE DOMAIN CONTAINING 1,-0.320162500000002,0.392616650534582,0.999986929681086
5'-NUCLEOTIDASE DOMAIN CONTAINING 2,-0.100485000000001,0.689044012637511,0.999986929681086
5'-NUCLEOTIDASE DOMAIN CONTAINING 3,0.1690275,0.291343069619118,0.999986929681086
5'-NUCLEOTIDASE DOMAIN CONTAINING 4,0.101059999999999,0.432046506099152,0.999986929681086
5-AMINOIMIDAZOLE-4-CARBOXAMIDE RIBONUCLEOTIDE FORMYLTRANSFERASE/IMP CYCLOHYDROLASE,-0.0544000000000011,0.634975215709165,0.999986929681086
5-AZACYTIDINE INDUCED 2,0.225572499999998,0.511973639618236,0.999986929681086
5-HYDROXYMETHYLCYTOSINE (HMC) BINDING,0.0609199999999976,0.510093150780819,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 1A,0.176735,0.227501811998218,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 1B,-0.0769724999999983,0.537781958598394,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 1D,-0.0742349999999998,0.570606721912384,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 1E,0.0544324999999981,0.709946320421265,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 1F,0.0445924999999985,0.7616171244251,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 2A,-0.411667500000002,0.132163933102979,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 2B,0.735087499999995,0.497578013697806,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 2C,0.0758425000000007,0.544339275335127,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 3A,0.0466975000000005,0.717562431642009,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 3B,-0.0480974999999999,0.755163251757971,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 3C,0.0677174999999988,0.619043931517189,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 4,0.0826699999999985,0.45339851415027,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 5A,0.0532524999999975,0.667848726887115,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 6,0.0494825000000017,0.672347608880321,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 7,-0.0812275000000007,0.617441553359152,0.999986929681086
5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 7 PSEUDOGENE 1,0.2050575,0.189234442880902,0.999986929681086
5-METHYLTETRAHYDROFOLATE-HOMOCYSTEINE METHYLTRANSFERASE,0.0512875000000008,0.828023368209508,0.999986929681086
5-METHYLTETRAHYDROFOLATE-HOMOCYSTEINE METHYLTRANSFERASE REDUCTASE,0.541040000000001,0.00010752929640527,0.999986929681086
