PROBE,logFC,AveExpr,t,P.Value,adj.P.Val,B
1007_s_at,0.0687950000000015,9.6143975,0.53196857483346,0.607296270337202,0.999986929681086,-4.77363507641747
1053_at,0.0247700000000002,8.08742,0.111125931633833,0.913892382163315,0.999986929681086,-4.82864874499096
117_at,-0.0375025000000031,6.39358125,-0.313506756300046,0.760855750710854,0.999986929681086,-4.81089930721508
121_at,-0.14213,8.99999,-0.79905814503458,0.444305409445552,0.999986929681086,-4.70512970712415
1255_g_at,0.0605249999999993,3.7639675,0.594403691821181,0.566506288740939,0.999986929681086,-4.75975482017684
1294_at,-0.167274999999998,7.7344425,-0.698066907408964,0.502318781108605,0.999986929681086,-4.73376485498932
1316_at,-0.112682500000002,7.56636375,-0.589054702999467,0.569940164063283,0.999986929681086,-4.76099744296167
1320_at,0.00882499999999986,6.4392575,0.0799194383758204,0.938005115467315,0.999986929681086,-4.82989003216042
1405_i_at,-0.103415,3.7454675,-0.730534085041822,0.48317002649801,0.999986929681086,-4.72490336648302
1431_at,0.116359999999999,5.768875,0.692189521032098,0.505834856317503,0.999986929681086,-4.73533311633918
1438_at,-0.0613900000000003,6.3822775,-0.741904279004438,0.476574772873792,0.999986929681086,-4.72172167268399
1487_at,-0.1419675,8.75759625,-1.36851183363879,0.203492951898955,0.999986929681086,-4.49570149192261
1494_f_at,0.155954999999997,6.59883,1.35239914828314,0.208406688444576,0.999986929681086,-4.50247328575969
1552256_a_at,-0.493570000000002,8.2983675,-2.84170745075481,0.0188568692334989,0.999986929681086,-3.84291449582543
1552257_a_at,-0.235637499999999,9.40717625,-0.803363511411168,0.441934708965116,0.999986929681086,-4.70384022890994
1552258_at,0.106110000000001,5.61994,1.18375837082197,0.266059417825796,0.999986929681086,-4.57095778255151
1552261_at,0.188117499999999,5.11544875,1.56813366058544,0.15041100076494,0.999986929681086,-4.40924622450618
1552263_at,-0.0283275000000014,7.96176125,-0.197650444005226,0.847597333227545,0.999986929681086,-4.82310210428853
1552264_a_at,-0.0972049999999989,8.1842075,-1.13643037787372,0.284382949805519,0.999986929681086,-4.5892822209539
1552266_at,-0.0976150000000002,3.8357325,-0.490826916339929,0.634992127712207,0.999986929681086,-4.78202060667201
1552269_at,-0.00721750000000032,4.47699125,-0.0503283300955586,0.960931672618822,0.999986929681086,-4.83069318184155
1552271_at,-0.0593025000000011,6.40379375,-0.402266684295819,0.696632519986618,0.999986929681086,-4.7979472662517
1552272_a_at,0.0210425000000001,6.02397375,0.188681263207206,0.854420809261426,0.999986929681086,-4.82382002248328
1552274_at,0.0745025000000004,7.79639625,0.417113167580113,0.68611756836171,0.999986929681086,-4.79548348006775
1552275_s_at,-0.0179499999999972,7.7940575,-0.100292493377604,0.922254032542844,0.999986929681086,-4.82912546126789
1552276_a_at,-0.0328825000000021,6.73086875,-0.282573344193238,0.783730314915361,0.999986929681086,-4.81468521975772
1552277_a_at,-0.120849999999997,10.958125,-1.09320026375804,0.30197892749243,0.999986929681086,-4.60562908622675
1552278_a_at,0.391422500000001,6.38165875,1.93127334380221,0.0846484699845717,0.999986929681086,-4.24468233454527
1552279_a_at,-0.016445,7.09345,-0.192433949574397,0.851564295562439,0.999986929681086,-4.82352365009942
1552280_at,-0.0812824999999995,4.73471875,-0.622329213398291,0.548769215951389,0.999986929681086,-4.75310784599252
1552281_at,0.153912500000001,7.78349125,1.17048607545027,0.27109991205057,0.999986929681086,-4.57614002004007
1552283_s_at,0.0117725000000002,4.90107875,0.0905708952498036,0.929766121433372,0.999986929681086,-4.82951180078207
1552286_at,0.0701525000000016,7.75435625,0.487474321569753,0.637276416736679,0.999986929681086,-4.78267675688569
1552287_s_at,-0.268252499999999,6.17245125,-0.59729150587847,0.56465723911687,0.999986929681086,-4.75907984464499
1552288_at,0.127645000000001,5.186505,0.795693704064191,0.446163895761929,0.999986929681086,-4.70613357114522
1552289_a_at,-0.010089999999999,5.7424175,-0.0666535737749366,0.948277124396031,0.999986929681086,-4.83029515032433
1552291_at,0.220837500000002,7.35841625,0.962370295426593,0.360364789051228,0.999986929681086,-4.65258583416349
1552293_at,0.163842499999998,5.43546625,0.925526211962998,0.378224737744758,0.999986929681086,-4.66506550349919
1552295_a_at,0.0851200000000016,8.81859,0.611367104884959,0.55569355559597,0.999986929681086,-4.75574888584367
1552296_at,-0.1603475,4.64770875,-1.20304117131585,0.258870902755043,0.999986929681086,-4.56337032049771
1552299_at,0.131824999999997,5.02421,0.757386729397832,0.467687416648472,0.999986929681086,-4.71732495049764
1552301_a_at,0.138859999999998,6.5444375,1.17737257875808,0.268475113587635,0.999986929681086,-4.57345529266911
1552302_at,0.571955,5.09717,1.99747292625673,0.0760337383529459,0.999986929681086,-4.21432504201723
1552303_a_at,0.175592500000002,6.73845125,0.818851323095691,0.433476696004169,0.999986929681086,-4.69915669658784
1552304_at,-0.021002499999998,4.44332625,-0.121972925826459,0.905531423199016,0.999986929681086,-4.82812270740084
1552306_at,0.0468050000000009,4.8028925,0.127876288886657,0.90098612998717,0.999986929681086,-4.82781595201395
1552307_a_at,-0.0616750000000019,7.024035,-0.356113023855618,0.729749682526091,0.999986929681086,-4.80506532428463
1552309_a_at,-0.038587500000002,9.72745875,-0.154531244348932,0.880512885591838,0.999986929681086,-4.82625163000682
1552310_at,-0.132474999999999,8.611825,-0.518309284716866,0.616421629921,0.999986929681086,-4.77648713689807
1552311_a_at,-0.0592249999999996,7.52279,-0.382117990408897,0.711012102308455,0.999986929681086,-4.8011559100073
1552312_a_at,0.127472500000001,6.82621625,0.388475893372543,0.706461295758788,0.999986929681086,-4.80016028678916
1552314_a_at,-0.224485,4.329695,-2.26404205937533,0.04910853077689,0.999986929681086,-4.09282779986485
1552315_at,0.1187925,4.98093125,1.08405156083337,0.305809350450521,0.999986929681086,-4.60903840496161
1552316_a_at,-0.0653400000000004,3.631315,-0.509033310298012,0.622658518924638,0.999986929681086,-4.77838554568199
1552318_at,0.0880124999999996,3.53539125,0.751804103882794,0.470879572783564,0.999986929681086,-4.71891880841749
1552319_a_at,0.117584999999998,5.4232675,0.857435038951767,0.412885336697146,0.999986929681086,-4.68718910310212
1552320_a_at,-0.0425299999999988,3.2234725,-0.461326604413433,0.655229157254734,0.999986929681086,-4.78765192705453
1552321_a_at,-0.2035475,3.46468875,-1.68797041325407,0.124801857580919,0.999986929681086,-4.3556176507117
1552322_at,-0.0560750000000008,3.010195,-0.63370013701569,0.541639545768133,0.999986929681086,-4.7503252887883
1552323_s_at,-0.0145749999999998,4.708165,-0.123274851502056,0.904528688413878,0.999986929681086,-4.8280562948735
1552325_at,0.0167325000000011,3.04602375,0.130792966209886,0.898741824583511,0.999986929681086,-4.82765907367023
1552326_a_at,-0.169739999999999,4.99268,-1.38234436023767,0.199353463518346,0.999986929681086,-4.48985998137734
1552327_at,-0.174792499999999,3.39432875,-0.957009358388114,0.362924458960654,0.999986929681086,-4.65442308649194
1552329_at,-0.550627500000003,6.18379875,-1.63250176548131,0.136121907583413,0.999986929681086,-4.3805632179648
1552330_at,-0.0876800000000024,7.4999075,-0.729236963912055,0.483926087276812,0.999986929681086,-4.72526377555154
1552332_at,0.0547199999999979,8.4618375,0.401462380609004,0.697204141582091,0.999986929681086,-4.79807833680278
1552334_at,-0.0937574999999997,7.35352625,-0.474028651272806,0.646477984314745,0.999986929681086,-4.78526668634611
1552335_at,-0.0328525000000024,6.44293875,-0.293216451787378,0.775833980309348,0.999986929681086,-4.81342560950625
1552337_s_at,0.0789275000000025,5.77502125,0.764628101561004,0.463567725766558,0.999986929681086,-4.71524332653939
1552338_at,-0.16201,6.476775,-1.29379279045103,0.227132088675418,0.999986929681086,-4.52679038097173
1552340_at,-0.00757999999999903,5.26569,-0.0701948015836308,0.945534017901885,0.999986929681086,-4.83019416894198
1552343_s_at,-0.127747499999999,4.31765875,-1.11722627817004,0.292097389566895,0.999986929681086,-4.59659152597817
1552344_s_at,0.1544175,7.57646375,0.979987676459542,0.352046462931129,0.999986929681086,-4.64649782722118
1552347_at,-0.166775000000001,6.9019875,-0.67240156444393,0.517783482361565,0.999986929681086,-4.74053102556519
1552348_at,-0.0141150000000003,6.3871025,-0.123855925748168,0.90408120611889,0.999986929681086,-4.82802642732586
1552349_a_at,0.140792500000002,5.03866375,1.17466213766661,0.269505759404886,0.999986929681086,-4.5745130391281
1552354_at,0.134907499999999,5.04578125,1.31401316714077,0.220518283894169,0.999986929681086,-4.5184580533298
1552355_s_at,0.0228424999999985,6.16671875,0.19584231261065,0.84897184911181,0.999986929681086,-4.82324947930845
1552359_at,-0.0522,3.35879,-0.614492310954403,0.553714408572336,0.999986929681086,-4.75500011479394
1552360_a_at,-0.184912499999999,5.90679125,-1.04104149163769,0.324321891868112,0.999986929681086,-4.62482143239381
1552362_a_at,-0.1438375,5.45354875,-1.20079058244467,0.259701732218846,0.999986929681086,-4.56425940032734
1552364_s_at,-0.107044999999998,5.62361,-0.734239158137983,0.481014561846538,0.999986929681086,-4.72387100566539
1552365_at,1.32236,5.790375,2.38445161285048,0.0402402137003898,0.999986929681086,-4.0388459088796
1552367_a_at,0.289219999999998,4.6467975,1.4408579632577,0.182630356732012,0.999986929681086,-4.4648800306374
1552368_at,-0.1210125,3.12804875,-1.29234524434806,0.227611837930803,0.999986929681086,-4.52738446684389
1552370_at,-0.3068025,6.13882375,-0.896860881490249,0.392554683270965,0.999986929681086,-4.67453130774911
1552372_at,-0.00450500000000087,2.466845,-0.0466513921471283,0.963783581920892,0.999986929681086,-4.83076751674257
1552373_s_at,0.110842500000001,2.93848875,0.974942657279624,0.354413927835898,0.999986929681086,-4.64824905858436
1552375_at,0.0100224999999998,5.75840375,0.0787467431420587,0.93891269884206,0.999986929681086,-4.82992879312991
1552377_s_at,0.0542575000000012,7.62274625,0.353492566085506,0.731648589664703,0.999986929681086,-4.80544468348662
1552378_s_at,0.291077499999999,6.49197125,0.844189540950248,0.419876868943873,0.999986929681086,-4.69134510478698
1552379_at,0.110445,2.387735,1.31895179412682,0.218927640955201,0.999986929681086,-4.51641355924597
1552381_at,-0.122492499999999,3.76044875,-1.09146193094365,0.302703858467149,0.999986929681086,-4.60627826173362
1552383_at,0.00795249999999825,6.88450875,0.0446346108498692,0.965348072223211,0.999986929681086,-4.83080589711182
1552384_a_at,-0.0176825000000012,5.18087625,-0.1023286066897,0.920681684275071,0.999986929681086,-4.82903957791241
1552386_at,-0.0636449999999997,2.6266725,-0.511733170149711,0.620839912868776,0.999986929681086,-4.77783621389945
1552388_at,-0.102867500000001,6.75471125,-0.71968113845849,0.489519027302721,0.999986929681086,-4.72790262768095
1552389_at,0.26265,3.470905,1.53467878752027,0.158353398317597,0.999986929681086,-4.42402164753218
1552390_a_at,-0.146945,3.276325,-1.4896255937284,0.16963358611654,0.999986929681086,-4.44375564300795
1552391_at,0.0991925,5.32419375,0.667408098961092,0.520825514614694,0.999986929681086,-4.7418225511189
1552393_at,0.116592499999999,2.63425125,1.1736575996871,0.269888539835008,0.999986929681086,-4.57490470617843
