"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","17/47","95/9512",0.178947368421053,36.2159014557671,24.3078214716849,4.69926626678113e-23,8.83462058154853e-21,3.66048109201899e-21,"1051/2353/3725/3576/3320/3326/1432/3569/7124/2920/2921/6374/3627/6347/5599/4790/5970",17
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","16/47","119/9512",0.134453781512605,27.2111568031468,20.274923241813,1.38781187308465e-19,1.30454316069957e-17,5.40516203201391e-18,"1051/2353/3725/9021/1432/3569/7124/2920/2921/6374/3627/6347/5599/4790/5970/3659",16
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","18/47","216/9512",0.0833333333333333,16.8652482269504,16.619861493742,3.23804944265281e-18,2.0291776507291e-16,8.40756697390555e-17,"2353/3725/3303/3304/3576/3320/3326/1432/6648/3569/7124/2920/2921/6347/5468/5599/4790/5970",18
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","11/47","78/9512",0.141025641025641,28.5411893071468,17.2101147663055,7.46578433567519e-14,3.50891863776734e-12,1.45386326536833e-12,"2353/3725/3576/1432/3569/7124/6374/5599/4790/5970/3659",11
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","13/47","142/9512",0.0915492957746479,18.5280191789032,14.8288996813412,9.56384991597229e-14,3.59600756840558e-12,1.4899471448041e-12,"1843/2353/3725/3162/3320/3326/1432/1728/7124/6347/5599/4790/5970",13
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","13/47","189/9512",0.0687830687830688,13.9205223460543,12.6425547229567,3.87839474425232e-12,1.21523035319906e-10,5.03510896622231e-11,"3725/3576/3320/3326/1432/3569/7124/2920/2921/6347/5599/4790/5970",13
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","9/47","56/9512",0.160714285714286,32.5258358662614,16.6728023783365,4.97841521031033e-12,1.33706008505477e-10,5.53989060996939e-11,"3303/3304/3576/3569/7124/2920/2921/4790/5970",9
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","12/47","157/9512",0.0764331210191083,15.4687627049736,12.8813397481238,8.50605655816053e-12,1.99892329116772e-10,8.28221296452473e-11,"2353/3725/9021/3576/1432/3569/7124/5468/3643/5599/4790/5970",12
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","10/47","103/9512",0.0970873786407767,19.6488328857674,13.4091190304574,5.27656391590286e-11,1.10221557354415e-09,4.56685064066447e-10,"2353/3725/3576/1432/3569/7124/6347/5599/4790/5970",10
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","10/47","109/9512",0.0917431192660551,18.5672457544408,12.998265945215,9.33380855016922e-11,1.63048157270311e-09,6.75563473572398e-10,"2353/3725/3576/1432/3569/7124/3627/5599/4790/5970",10
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","14/47","300/9512",0.0466666666666667,9.4445390070922,10.4727640610175,9.54005175517779e-11,1.63048157270311e-09,6.75563473572398e-10,"1843/2353/3725/3303/3304/3315/4616/10912/1432/7124/3643/5599/4790/5970",14
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","9/47","95/9512",0.0947368421052632,19.173124300112,12.5440225241634,6.70480841556632e-10,1.05041998510539e-08,4.35224405922726e-09,"2353/3725/3576/3569/7124/2920/2921/6374/6347",9
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","10/47","138/9512",0.072463768115942,14.6654332408264,11.3946813342362,9.75770051174433e-10,1.41111361246764e-08,5.84671933497231e-09,"2353/3725/3576/1432/3569/7124/6347/5599/4790/5970",10
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","9/47","101/9512",0.0891089108910891,18.034126816937,12.1273074259204,1.16601763367683e-09,1.56579510808032e-08,6.48761690917936e-09,"3725/3576/1432/3569/7124/6347/5599/4790/5970",9
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","10/47","143/9512",0.0699300699300699,14.1526558547835,11.1670012991667,1.38464102563091e-09,1.73541675212408e-08,7.19041655415352e-09,"2353/3725/8651/9021/1432/7124/5468/5599/4790/5970",10
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","8/47","71/9512",0.112676056338028,22.8037159124963,12.9942853960933,1.60309850325737e-09,1.77283834477874e-08,7.34546682607093e-09,"2353/8651/9021/1432/5599/4790/5970/3659",8
