"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-449147","Signaling by Interleukins","13/39","380/10173",0.0342105263157895,8.92368421052632,9.76576139941244,7.55859916064526e-10,1.32874798988167e-07,7.10100140341619e-08,"2353/3725/8651/9021/3162/3576/3320/6647/6648/3569/2920/3627/6347",13
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","8/39","87/10173",0.0919540229885057,23.9858532272325,13.3569039494462,1.02211383837051e-09,1.32874798988167e-07,7.10100140341619e-08,"2353/8651/9021/3162/3576/3320/3569/6347",8
"R-HSA-380108","Chemokine receptors bind chemokines","6/39","57/10173",0.105263157894737,27.4574898785425,12.4258665595066,6.68132681045164e-08,5.79048323572476e-06,3.0945092595776e-06,"3576/2920/2921/6374/3627/6347",6
"R-HSA-3371568","Attenuation phase","4/39","14/10173",0.285714285714286,74.5274725274725,17.0778503864507,1.79586488987255e-07,1.11031526534207e-05,5.93366862450013e-06,"3303/3304/3320/3326",4
"R-HSA-9711123","Cellular response to chemical stress","8/39","171/10173",0.0467836257309941,12.2033288349078,9.16530122029399,2.13522166411937e-07,1.11031526534207e-05,5.93366862450013e-06,"3162/1728/6647/6648/847/2729/2730/6347",8
"R-HSA-9841251","Mitochondrial unfolded protein response (UPRmt)","4/39","16/10173",0.25,65.2115384615385,15.9453982212743,3.24725869302456e-07,1.40714543364398e-05,7.51996749963582e-06,"3303/3304/6648/847",4
"R-HSA-9818027","NFE2L2 regulating anti-oxidant/detoxification enzymes","4/39","18/10173",0.222222222222222,57.965811965812,15.0056775537899,5.42966466857034e-07,1.78598079824698e-05,9.54451276795958e-06,"3162/1728/2729/2730",4
"R-HSA-6783783","Interleukin-10 signaling","5/39","43/10173",0.116279069767442,30.3309481216458,11.9564055136358,5.49532553306764e-07,1.78598079824698e-05,9.54451276795958e-06,"3576/3569/2920/3627/6347",5
"R-HSA-3371571","HSF1-dependent transactivation","4/39","21/10173",0.19047619047619,49.6849816849817,13.8539585228272,1.0532347285247e-06,3.04267810462691e-05,1.6260465984241e-05,"3303/3304/3320/3326",4
"R-HSA-3371497","HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand","5/39","51/10173",0.0980392156862745,25.5731523378582,10.9133434729227,1.31143408069626e-06,3.40972860981028e-05,1.82220314370428e-05,"2289/3303/3304/3320/3326",5
"R-HSA-194002","Glucocorticoid biosynthesis","3/39","10/10173",0.3,78.2538461538462,15.1619191647658,6.13667096572558e-06,0.000145048586462605,7.75158437775863e-05,"3290/3291/1584",3
"R-HSA-375276","Peptide ligand-binding receptors","7/39","191/10173",0.0366492146596859,9.55980668546113,7.40827144451633,6.81434911418674e-06,0.000147331390172396,7.87358036548836e-05,"4158/3576/2920/2921/6374/3627/6347",7
"R-HSA-9759194","Nuclear events mediated by NFE2L2","5/39","72/10173",0.0694444444444444,18.1143162393162,9.04042077416186,7.36656950861979e-06,0.000147331390172396,7.87358036548836e-05,"3162/1728/2729/2730/6347",5
"R-HSA-9755511","KEAP1-NFE2L2 pathway","5/39","94/10173",0.0531914893617021,13.8747954173486,7.77930090189347,2.71791727820018e-05,0.000504756065951462,0.000269748180994304,"3162/1728/2729/2730/6347",5
"R-HSA-8939211","ESR-mediated signaling","6/39","188/10173",0.0319148936170213,8.32487725040916,6.28854641208231,7.22358634001853e-05,0.00125208829893654,0.000669132208338558,"2289/2353/3725/3315/3320/3326",6
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","7/39","318/10173",0.0220125786163522,5.74189646831156,5.32944939267388,0.000177410458615694,0.00288291995250503,0.00154066977218892,"4158/3576/2920/2921/6374/3627/6347",7
"R-HSA-913531","Interferon Signaling","6/39","229/10173",0.0262008733624454,6.83439704400403,5.53959727757288,0.000213448465049824,0.00309931194734543,0.00165631245769068,"2289/8651/9021/3303/3304/3659",6
"R-HSA-3371556","Cellular response to heat stress","4/39","78/10173",0.0512820512820513,13.3767258382643,6.80683055703865,0.000214567750200838,0.00309931194734543,0.00165631245769068,"3303/3304/3320/3326",4
"R-HSA-5579029","Metabolic disorders of biological oxidation enzymes","3/39","32/10173",0.09375,24.4543269230769,8.24332839469807,0.00023926454392061,0.00313520902532008,0.00167549632122369,"1584/2729/2730",3
"R-HSA-500792","GPCR ligand binding","8/39","447/10173",0.0178970917225951,4.66838754087076,4.92047316929523,0.000241169925024621,0.00313520902532008,0.00167549632122369,"1392/4158/3576/2920/2921/6374/3627/6347",8
"R-HSA-3299685","Detoxification of Reactive Oxygen Species","3/39","34/10173",0.0882352941176471,23.0158371040724,7.97667925897611,0.000287134978502735,0.00355500449574815,0.00189984045926622,"6647/6648/847",3
"R-HSA-196071","Metabolism of steroid hormones","3/39","35/10173",0.0857142857142857,22.3582417582418,7.85178512626349,0.000313222729741223,0.003701723169669,0.00197824881941825,"3290/3291/1584",3
"R-HSA-9006931","Signaling by Nuclear Receptors","6/39","253/10173",0.0237154150197628,6.18607479477045,5.18189047883132,0.00036521717503315,0.00400705506916773,0.00214142214222729,"2289/2353/3725/3315/3320/3326",6
"R-HSA-450408","AUF1 (hnRNP D0) binds and destabilizes mRNA","3/39","37/10173",0.0810810810810811,21.1496881496882,7.61694675034491,0.000369882006384713,0.00400705506916773,0.00214142214222729,"3303/3304/3315",3
"R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","4/39","102/10173",0.0392156862745098,10.2292609351433,5.8113327318102,0.000598431478666152,0.00622368737812798,0.00332601916563924,"2353/3725/3576/3569",4
"R-HSA-8986944","Transcriptional Regulation by MECP2","3/39","47/10173",0.0638297872340425,16.6497545008183,6.67087074525758,0.000751725416435834,0.00690953568349148,0.00369254538550962,"2289/6446/1392",3
"R-HSA-174403","Glutathione synthesis and recycling","2/39","11/10173",0.181818181818182,47.4265734265734,9.55693006036624,0.000770678980081742,0.00690953568349148,0.00369254538550962,"2729/2730",2
"R-HSA-844456","The NLRP3 inflammasome","2/39","11/10173",0.181818181818182,47.4265734265734,9.55693006036624,0.000770678980081742,0.00690953568349148,0.00369254538550962,"3162/3326",2
"R-HSA-877312","Regulation of IFNG signaling","2/39","11/10173",0.181818181818182,47.4265734265734,9.55693006036624,0.000770678980081742,0.00690953568349148,0.00369254538550962,"8651/9021",2
"R-HSA-3371511","HSF1 activation","2/39","12/10173",0.166666666666667,43.474358974359,9.13259628803471,0.000922576586169728,0.00799566374680431,0.00427298629383874,"3320/3326",2
"R-HSA-399954","Sema3A PAK dependent Axon repulsion","2/39","13/10173",0.153846153846154,40.1301775147929,8.75753072262949,0.00108767966629263,0.00912247462051886,0.0048751686231113,"3320/3326",2
