"gene","logFC","P.Value","adj.P.Val","Dataset"
"CAT",0.100940000000003,0.773604992104096,0.999986929681086,"GSE98421"
"CCL2",0.7944675,0.205224322441572,0.999986929681086,"GSE98421"
"CEBPB",-0.190200000000001,0.174105488902449,0.999986929681086,"GSE98421"
"CRH",-0.207277500000001,0.180773555375253,0.999986929681086,"GSE98421"
"CXCL10",0.0831124999999995,0.498534678843929,0.999986929681086,"GSE98421"
"CXCL2",-0.7735925,0.00932478487804022,0.999986929681086,"GSE98421"
"CXCL3",-0.840025000000001,0.0565210619180318,0.999986929681086,"GSE98421"
"CXCL5",-1.21491,0.00456421787517494,0.999986929681086,"GSE98421"
"CYP11B1",0.0342574999999989,0.763169565488158,0.999986929681086,"GSE98421"
"DUSP1",0.484724999999997,0.169357476672774,0.999986929681086,"GSE98421"
"FKBP5",-0.303867500000001,0.112359201683385,0.999986929681086,"GSE98421"
"FOS",0.635962500000002,0.0786770228617017,0.999986929681086,"GSE98421"
"GADD45B",-0.176689999999997,0.515606738766348,0.999986929681086,"GSE98421"
"GADD45G",-0.099594999999999,0.341382191497485,0.999986929681086,"GSE98421"
"GCLC",0.1781925,0.29911204578374,0.999986929681086,"GSE98421"
"GCLM",0.216849999999997,0.140613055255557,0.999986929681086,"GSE98421"
"HMOX1",-0.194924999999998,0.288842127793881,0.999986929681086,"GSE98421"
"HSD11B1",0.0558500000000004,0.875734761828171,0.999986929681086,"GSE98421"
"HSD11B2",0.214647500000002,0.250239329625087,0.999986929681086,"GSE98421"
"HSP90AA1",0.0828500000000041,0.678937974852837,0.999986929681086,"GSE98421"
"HSP90AB1",-0.0955999999999975,0.315214515676566,0.999986929681086,"GSE98421"
"HSPA1A",-0.0444250000000022,0.738793411195828,0.999986929681086,"GSE98421"
"HSPA1B",0.0808974999999998,0.513985430496291,0.999986929681086,"GSE98421"
"HSPB1",0.153850000000004,0.300446855106974,0.999986929681086,"GSE98421"
"IER5",-0.0265399999999971,0.881621653935437,0.999986929681086,"GSE98421"
"IL6",1.22754,0.0257238273217769,0.999986929681086,"GSE98421"
"INSR",0.111790000000001,0.403114304129071,0.999986929681086,"GSE98421"
"IRF1",-0.164900000000002,0.466868983911327,0.999986929681086,"GSE98421"
"JUN",-0.114525,0.645995077470376,0.999986929681086,"GSE98421"
"KLF15",0.1925025,0.13219460946701,0.999986929681086,"GSE98421"
"KLF9",0.225397499999998,0.0774474735339851,0.999986929681086,"GSE98421"
"MAPK14",-0.107072500000001,0.358321214008126,0.999986929681086,"GSE98421"
"MAPK8",-0.0982050000000001,0.341171802797151,0.999986929681086,"GSE98421"
"MC2R",-0.2163025,0.323458281946256,0.999986929681086,"GSE98421"
"NFKB1",0.0854349999999986,0.44016576919523,0.999986929681086,"GSE98421"
"NQO1",0.125175000000002,0.474124496629551,0.999986929681086,"GSE98421"
"NR3C1",-0.298337500000001,0.516468678691549,0.999986929681086,"GSE98421"
"NR3C2",0.49451,0.155350583717511,0.999986929681086,"GSE98421"
"PER1",0.0979724999999996,0.368847164650191,0.999986929681086,"GSE98421"
"PPARG",-0.248890000000001,0.1392933256988,0.999986929681086,"GSE98421"
"RELA",-0.0589450000000049,0.756388491503233,0.999986929681086,"GSE98421"
"SGK1",0.0869249999999973,0.795863862302602,0.999986929681086,"GSE98421"
"SOCS1",-0.168894999999999,0.404513022954007,0.999986929681086,"GSE98421"
"SOCS3",-0.227077499999998,0.131035500300313,0.999986929681086,"GSE98421"
"SOD1",-0.0916250000000005,0.588151544564472,0.999986929681086,"GSE98421"
"SOD2",-0.48118,0.0696224128981539,0.999986929681086,"GSE98421"
"TNF",0.119785,0.507255826241519,0.999986929681086,"GSE98421"
"TSC22D3",0.0900774999999996,0.421620382716217,0.999986929681086,"GSE98421"
"TXNRD1",0.320425000000004,0.075254979847522,0.999986929681086,"GSE98421"
"ZBTB16",0.203905,0.104915682431466,0.999986929681086,"GSE98421"
"CAT",-0.262571083333336,0.288802992283428,0.793368891912886,"GSE137684"
"CCL2",-1.2438455,0.0637891072817767,0.591375025465023,"GSE137684"
"CEBPB",-0.00390650000000115,0.992979059414581,0.998508947949511,"GSE137684"
"CRH",-0.871184450000001,0.315294487606063,0.793368891912886,"GSE137684"
"CXCL10",-1.13120623333333,0.175578633067922,0.763439067396821,"GSE137684"
"CXCL2",-0.463882500000006,0.575809403074116,0.874247293725288,"GSE137684"
"CXCL3",-0.978294733333334,0.237982237952849,0.793368891912886,"GSE137684"
"CXCL5",1.84827648333333,0.000336789561649275,0.109438807925712,"GSE137684"
"CYP11B1",0.0460464666666649,0.927449236412028,0.98478281482285,"GSE137684"
"DUSP1",-0.0470166666666714,0.912326109033364,0.981313373319848,"GSE137684"
"FKBP5",-0.40538983333334,0.428251280237799,0.815391098540415,"GSE137684"
"FOS",-0.0864055000000015,0.726256336830382,0.933135484285559,"GSE137684"
"GADD45B",-0.0916891666666668,0.726842561491231,0.933413396997722,"GSE137684"
"GADD45G",-0.639631833333334,0.184352039846869,0.768658704410877,"GSE137684"
"GCLC",-0.0550416666666766,0.899437588154682,0.977189032080067,"GSE137684"
"GCLM",0.645763999999991,0.00220201655050408,0.160298590754701,"GSE137684"
"HMOX1",-0.616528583333343,0.186914361562976,0.771317966202318,"GSE137684"
"HSD11B1",-0.860778333333336,0.212719925399582,0.78416131174436,"GSE137684"
"HSD11B2",0.0167013833333316,0.98772026022582,0.997307943593638,"GSE137684"
"HSP90AA1",-0.338408833333341,0.290570994037227,0.793368891912886,"GSE137684"
"HSP90AB1",-0.319851500000004,0.368777269455908,0.796721819903014,"GSE137684"
"HSPA1A",-0.199053250000002,0.368906142820364,0.796721819903014,"GSE137684"
"HSPA1B",-0.40554216666667,0.240022399401899,0.793368891912886,"GSE137684"
"HSPB1",-1.06907141666667,0.0720938821314592,0.612930878932324,"GSE137684"
"IER5",-0.0130066666666675,0.942603297556158,0.988444648171486,"GSE137684"
"IL6",-0.5722966,0.306416532348134,0.793368891912886,"GSE137684"
"INSR",-0.741047500000008,0.335575909058986,0.793433115436606,"GSE137684"
"IRF1",0.156905499999997,0.835839300777029,0.959863528554549,"GSE137684"
"JUN",-0.700281000000002,0.312026940481692,0.793368891912886,"GSE137684"
"KLF15",0.0684809166666653,0.84683978707054,0.962870612849253,"GSE137684"
"KLF9",-0.275756333333335,0.28206562373646,0.793368891912886,"GSE137684"
"MAPK14",0.337967916666663,0.400053830805236,0.806289228251317,"GSE137684"
"MAPK8",-0.419682950000002,0.0111714544830408,0.298655652031385,"GSE137684"
"MC2R",-0.466488583333333,0.220364290285974,0.787676204636847,"GSE137684"
"NFKB1",0.0398116666666599,0.894529288950356,0.975890538864658,"GSE137684"
"NQO1",0.30802948333333,0.640285531653515,0.901851359841417,"GSE137684"
"NR3C1",0.151164333333329,0.676155421199705,0.914462625953298,"GSE137684"
"NR3C2",-0.262352683333337,0.433476159209436,0.81745438069162,"GSE137684"
"PER1",-0.602019000000004,0.0494654273754676,0.538461796351188,"GSE137684"
"PPARG",-1.05798426666667,0.169555195348055,0.75983785263581,"GSE137684"
"RELA",-0.405076166666669,0.0254910030072646,0.419880391963224,"GSE137684"
"SGK1",-0.598793916666667,0.0198903769723448,0.379138364459209,"GSE137684"
"SOCS1",0.00169164999999794,0.996022915414246,0.999042383026736,"GSE137684"
"SOCS3",-0.263098250000006,0.569199709699275,0.871420676797764,"GSE137684"
"SOD1",-0.511163000000005,0.147974239499233,0.743451404831198,"GSE137684"
"SOD2",0.081284249999996,0.905160155173258,0.979209392582222,"GSE137684"
"TNF",-0.365668650000001,0.648812157577789,0.904397068438273,"GSE137684"
"TSC22D3",0.526197749999993,0.2565201674897,0.793368891912886,"GSE137684"
"TXNRD1",-0.452702666666671,0.101537459062396,0.683277073656091,"GSE137684"
"ZBTB16",-0.61596333333334,0.293106664001958,0.793368891912886,"GSE137684"
