"GeneSet","gene","logFC","P.Value","adj.P.Val"
"curated","CEBPB",-0.00390650000000115,0.992979059414581,0.998508947949511
"curated","CRH",-0.871184450000001,0.315294487606063,0.793368891912886
"curated","CYP11B1",0.0460464666666649,0.927449236412028,0.98478281482285
"curated","DUSP1",-0.0470166666666714,0.912326109033364,0.981313373319848
"curated","FKBP5",-0.40538983333334,0.428251280237799,0.815391098540415
"curated","HSD11B1",-0.860778333333336,0.212719925399582,0.78416131174436
"curated","HSD11B2",0.0167013833333316,0.98772026022582,0.997307943593638
"curated","MC2R",-0.466488583333333,0.220364290285974,0.787676204636847
"curated","NR3C1",0.151164333333329,0.676155421199705,0.914462625953298
"curated","NR3C2",-0.262352683333337,0.433476159209436,0.81745438069162
"curated","PER1",-0.602019000000004,0.0494654273754676,0.538461796351188
"curated","SGK1",-0.598793916666667,0.0198903769723448,0.379138364459209
"curated","TSC22D3",0.526197749999993,0.2565201674897,0.793368891912886
"hallmark","CEBPB",-0.00390650000000115,0.992979059414581,0.998508947949511
"hallmark","DUSP1",-0.0470166666666714,0.912326109033364,0.981313373319848
"hallmark","FKBP5",-0.40538983333334,0.428251280237799,0.815391098540415
"hallmark","FOS",-0.0864055000000015,0.726256336830382,0.933135484285559
"hallmark","GADD45B",-0.0916891666666668,0.726842561491231,0.933413396997722
"hallmark","GADD45G",-0.639631833333334,0.184352039846869,0.768658704410877
"hallmark","HMOX1",-0.616528583333343,0.186914361562976,0.771317966202318
"hallmark","HSPA1A",-0.199053250000002,0.368906142820364,0.796721819903014
"hallmark","HSPA1B",-0.40554216666667,0.240022399401899,0.793368891912886
"hallmark","HSPB1",-1.06907141666667,0.0720938821314592,0.612930878932324
"hallmark","IER5",-0.0130066666666675,0.942603297556158,0.988444648171486
"hallmark","JUN",-0.700281000000002,0.312026940481692,0.793368891912886
"hallmark","KLF15",0.0684809166666653,0.84683978707054,0.962870612849253
"hallmark","KLF9",-0.275756333333335,0.28206562373646,0.793368891912886
"hallmark","PER1",-0.602019000000004,0.0494654273754676,0.538461796351188
"hallmark","SGK1",-0.598793916666667,0.0198903769723448,0.379138364459209
"hallmark","SOCS1",0.00169164999999794,0.996022915414246,0.999042383026736
"hallmark","SOCS3",-0.263098250000006,0.569199709699275,0.871420676797764
"hallmark","TSC22D3",0.526197749999993,0.2565201674897,0.793368891912886
"hallmark","ZBTB16",-0.61596333333334,0.293106664001958,0.793368891912886
"reactome","CEBPB",-0.00390650000000115,0.992979059414581,0.998508947949511
"reactome","DUSP1",-0.0470166666666714,0.912326109033364,0.981313373319848
"reactome","FKBP5",-0.40538983333334,0.428251280237799,0.815391098540415
"reactome","FOS",-0.0864055000000015,0.726256336830382,0.933135484285559
"reactome","HSP90AA1",-0.338408833333341,0.290570994037227,0.793368891912886
"reactome","HSP90AB1",-0.319851500000004,0.368777269455908,0.796721819903014
"reactome","HSPA1A",-0.199053250000002,0.368906142820364,0.796721819903014
"reactome","HSPA1B",-0.40554216666667,0.240022399401899,0.793368891912886
"reactome","JUN",-0.700281000000002,0.312026940481692,0.793368891912886
"reactome","KLF9",-0.275756333333335,0.28206562373646,0.793368891912886
"reactome","MAPK14",0.337967916666663,0.400053830805236,0.806289228251317
"reactome","NR3C1",0.151164333333329,0.676155421199705,0.914462625953298
"reactome","NR3C2",-0.262352683333337,0.433476159209436,0.81745438069162
"reactome","PER1",-0.602019000000004,0.0494654273754676,0.538461796351188
"reactome","SGK1",-0.598793916666667,0.0198903769723448,0.379138364459209
"reactome","TSC22D3",0.526197749999993,0.2565201674897,0.793368891912886
"stress","CAT",-0.262571083333336,0.288802992283428,0.793368891912886
"stress","CCL2",-1.2438455,0.0637891072817767,0.591375025465023
"stress","CEBPB",-0.00390650000000115,0.992979059414581,0.998508947949511
"stress","CXCL10",-1.13120623333333,0.175578633067922,0.763439067396821
"stress","CXCL2",-0.463882500000006,0.575809403074116,0.874247293725288
"stress","CXCL3",-0.978294733333334,0.237982237952849,0.793368891912886
"stress","CXCL5",1.84827648333333,0.000336789561649275,0.109438807925712
"stress","GCLC",-0.0550416666666766,0.899437588154682,0.977189032080067
"stress","GCLM",0.645763999999991,0.00220201655050408,0.160298590754701
"stress","HMOX1",-0.616528583333343,0.186914361562976,0.771317966202318
"stress","IL6",-0.5722966,0.306416532348134,0.793368891912886
"stress","IL8",1.62633796666666,0.105445742450192,0.688039049379971
"stress","INSR",-0.741047500000008,0.335575909058986,0.793433115436606
"stress","IRF1",0.156905499999997,0.835839300777029,0.959863528554549
"stress","MAPK14",0.337967916666663,0.400053830805236,0.806289228251317
"stress","MAPK8",-0.419682950000002,0.0111714544830408,0.298655652031385
"stress","NFKB1",0.0398116666666599,0.894529288950356,0.975890538864658
"stress","NQO1",0.30802948333333,0.640285531653515,0.901851359841417
"stress","PPARG",-1.05798426666667,0.169555195348055,0.75983785263581
"stress","RELA",-0.405076166666669,0.0254910030072646,0.419880391963224
"stress","SGK1",-0.598793916666667,0.0198903769723448,0.379138364459209
"stress","SOD1",-0.511163000000005,0.147974239499233,0.743451404831198
"stress","SOD2",0.081284249999996,0.905160155173258,0.979209392582222
"stress","TNF",-0.365668650000001,0.648812157577789,0.904397068438273
"stress","TXNRD1",-0.452702666666671,0.101537459062396,0.683277073656091
