"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006979","response to oxidative stress","405/16516","418/18860",0.9688995215311,1.10640863260333,5.83974600294407,1.06656229454358e-11,1.06656229454358e-11,2.53230579874091e-10,"MMP14/APOE/HP/SLC1A1/PRKRA/MAP3K5/STAT1/GPX3/ERCC1/CYP1B1/SLC8A1/MGST1/BTG1/EDNRA/MSRB3/IL6/PEX5/EDN1/BMAL1/ERCC6/COL1A1/DHFR/COL6A1/GPX7/MICB/PAWR/AGAP3/TNFAIP3/MMP3/MPV17/MAPT/PEX13/CYGB/STX2/FOXO1/STX4/MGAT3/CHEK2/SIRT2/SOD2/TXN/NME8/PLK3/FOS/TRPC6/ATP7A/ABL2/UBR4/HM13/PRDX6/MEAK7/PLEKHA1/MAPK9/MMP2/ERN1/PTGS2/PDGFD/SRC/ABCC9/BCL2/STK24/AIFM2/PRKD1/BLVRA/ALS2/HBA1/HBA2/ATP2A2/BNIP3/ETV5/CDKN2A/TP53/TOR1A/FANCD2/GCLM/ALOX5/PINK1/SLC23A2/RBX1/FBLN5/TRIM32/STC2/GPX4/GPX8/NAGLU/PRR5L/MIR92A1/LPO/XBP1/SNCA/CD38/NCOA7/FCHSD1/FYN/PRKCD/LIAS/RCAN1/DUSP1/TRPA1/SLC11A2/RCAN2/ECT2/BRF2/FBXO31/RAD52/ZC3H12A/NUDT15/GPX1/AIF1/HBB/MSRB2/SOD3/PCGF2/CDK1/STAU2/ERMP1/ZNF277/NAPRT/PRKAA1/AIFM1/PML/ATE1/ATF4/RBPMS/EPAS1/RHOB/SIRPA/ROMO1/PYCR1/EIF2AK3/SLC7A11/RNF112/SP1/UCP2/ITCH/PPARGC1A/NFE2L2/PRDX2/TAT/DCAF11/TPM1/SPHK1/TBC1D24/PPIA/NET1/KDM6B/CASP3/ATM/RACK1/PDK2/MIR21/ALDH3B1/ARNT/HMOX1/USP25/ARL6IP5/GGT7/RGS14/GCLC/MACROH2A1/PRKCA/ERO1A/RBM11/PJVK/CD36/PXN/PEX2/S100A7/KPNA4/GCH1/PYROXD1/NPPA/STK26/HTRA2/ADCYAP1R1/BECN1/JAK2/TP53INP1/MAPK8/SESN3/PDGFRA/FUT8/IDH1/CCS/UCN/ERCC8/MDM2/PRKAA2/FER/FXN/MET/LRRK2/PRKN/NEIL1/ALAD/KLF2/FOXP1/LCN2/MAP1LC3A/AMBP/NR4A2/PRDX5/TRPM2/PSEN1/COA8/RWDD1/EPX/TREX1/HDAC6/CHRNA4/HSF1/CD2AP/GPR37L1/TRAP1/MTF1/MSRA/ERCC3/GSTP1/DGKK/PEX14/CUL1/TRIM25/SELENOK/PPP2CB/NR4A3/C19orf12/COMT/PKD2/AREG/EIF2S1/KEAP1/ATF2/KAT2B/MCTP1/PLA2R1/CRK/CHUK/SLC25A14/RIPK3/TET1/HDAC2/THG1L/NQO1/MT-CO1/HAO1/MPO/SCGB1A1/FOXO4/MAPK13/CFL1/FOXO3/MBL2/SIN3A/PCNA/PNPLA8/AKT1/ENDOG/PARK7/OGG1/GATA5/IL18RAP/PPP1R15B/CAMKK2/ADAM9/GPR37/OXR1/HSPA1B/MB/UCP1/GPX5/SETX/PRDX3/PRDX1/PARP1/TACR1/HGF/PPP5C/WNT16/TXNIP/DHRS2/SCARA3/MAPKAP1/PEX10/RRM2B/EEF2/BMP7/APOD/ATOX1/UBR5/IL18BP/WRN/VRK2/OSER1/PEX12/PXDN/APOA4/STAU1/VNN1/RLIG1/DUOX1/SOD1/ERCC6L2/SELENOP/FADS2/AQP1/OXSR1/ERCC2/HSPA1A/PYCR2/CRYAA/ADIPOQ/CHCHD2/CYB5B/DAPK1/HMOX2/CAPN2/ATP13A2/PAM/XRCC1/PSIP1/G6PD/ADPRS/EZH2/PTPRK/BTK/MYB/PPIF/DDR2/XPA/RIPK1/SGK2/SIRT1/PXDNL/STOX1/GSS/AAAS/PTGS1/SLC4A11/PRDX4/CRYAB/MT3/ANKZF1/FANCC/HYAL1/PPEF2/KRT1/TXNRD2/KCMF1/SRXN1/HYAL2/TMEM161A/RELA/TOP2B/ABCD1/VKORC1L1/KCNA5/PRNP/CAT/PDLIM1/MAPK7/ABL1/DUOX2/CUL3/NUDT1/TLDC2/SESN2/UCP3/RPS3/SMPD3/NFE2L1/PNPT1/MAP2K1/ZNF580/PSMB5/SESN1/NUDT2/CBX8/ABCC1/KLF4/LONP1/CRYGD/GSR/ETFDH/IPCEF1/SLC25A24/BAK1/FGF8/SELENON/BANF1/SUMO4/PENK/SELENOS/MT-ND3/PTPRN/GPX2/PNKP/MAP2K4/FABP1/CA3/HIF1A/TPO/PDCD10/NOS3/STK25/ANGPTL7",405
"GO:0072593","reactive oxygen species metabolic process","231/16516","237/18860",0.974683544303797,1.11301354114614,4.64742937062727,4.37413749562229e-08,4.37413749562229e-08,4.17050656095939e-07,"HP/SLC1A1/PARL/GPX3/CYP1B1/RNF41/ITGB2/EDN1/AKR1C1/PDK3/SH3PXD2A/DHFR/COL6A1/TAFA4/MPV17L/ACP5/AGTR1/MMP3/MPV17/MAPT/MYCN/NOX1/CYGB/FOXO1/SIRT2/SOD2/HK2/TXN/CFLAR/CCN2/NDUFS3/AGT/ATP7A/PLIN5/PRDX6/PDK4/NCF2/SIRT5/ABCC9/ALOX12/DHRS4/BCL2/FAS/HBA1/HBA2/PRKCE/BNIP3/PPARA/TP53/ALOX5/PINK1/FBLN5/NAGLU/LPO/SNCA/P2RX7/FAM210B/SIRT3/FYN/PRKCD/PMAIP1/TFAP2A/SH3PXD2B/NCF1/NCF1B/NCF1C/GRIN1/CCN1/PRCP/ZC3H12A/GPX1/HBB/SOD3/PLCG2/TYROBP/NOXO1/NDUFS6/ATP5IF1/SIRPA/ROMO1/SYK/PID1/UCP2/TLR4/BCR/NFE2L2/IMMP2L/PRDX2/CYBB/SLC5A3/PDGFB/ACOX1/MIR21/NDUFC2/ADCY10/STK17A/MFSD8/SLC18A2/RFK/CD36/AKR1C3/GCH1/CLEC7A/TSPO/ADGRB1/CCS/ABCD2/RHOA/CD177/SLC25A33/CRP/CYP1A2/CCN6/MAPK14/TLR6/LRRK2/PRKN/LCN2/PRDX5/ARF4/EPX/HDAC6/DDIT4/ELAVL1/CBS/LOC102724560/TRAP1/MAOB/GSTP1/STAT3/SPHK2/ZNF205/MT-ND2/APP/BST1/TIGAR/NCF4/PLA2R1/RIPK3/NQO1/ARG2/CDKN1A/GRB2/NOX4/MPO/PREX1/FOXO3/NDUFS4/PARK7/TNF/IER3/LIPA/RAC1/MB/THBS1/COQ7/UCP1/ATG5/PRDX3/PRDX1/IFI6/PAX2/CLCN3/SFTPD/TUSC2/CYB5R4/CBR1/GLS2/CYBA/BMP7/PIKFYVE/LEP/ABCB7/PXDN/TGFBR2/NOS2/APOA4/ITGAM/DUOX1/SOD1/VDAC1/DUOXA1/NOXA1/GADD45A/INAVA/NNT/NOX5/G6PD/ACOD1/F2RL1/GNAI2/BRCA1/CYP1A1/NOX3/RIPK1/PDGFRB/RAB27A/PXDNL/SHC1/PRDX4/CRYAB/MT3/FPR2/BCO2/TGFB1/IL19/LETMD1/RAC2/ABCD1/PRG3/CAT/DUOX2/SESN2/DRD5/SESN1/PON3/F2/INS/ACE2/DUOXA2/HVCN1/GBF1/DCXR/CA3/PAGE4/EIF6/BIRC2/TPO/VAV1/NOS3/FOXM1",231
"GO:0007098","centrosome cycle","148/16516","150/18860",0.986666666666667,1.12669734398967,4.13532084084574,5.22898714580556e-07,5.22898714580556e-07,3.66698529570717e-06,"PKHD1/PDE4DIP/CEP250/SSX2IP/NIN/NEK2/SGO1/CCDC102B/WDR62/AURKA/STIL/CEP152/NDE1/CHD3/XRCC2/NSFL1C/CCNF/POC1A/BRCA2/CDK11A/CDK11B/TRIM37/CHORDC1/CEP120/NAT10/SPICE1/KIF11/PLK4/CHEK1/CDK1/NUP62/CHMP4C/TMEM67/POC1B/RBM14/CHMP2A/PLK1/TRIM69/PCM1/C2CD3/DEUP1/CDK2/HAUS5/CENATAC/C10orf90/CCNL2/CEP72/SDCCAG8/CTNNB1/CDK5RAP2/DCTN1/CNTROB/CHMP1B/HAUS2/CPAP/NDEL1/CEP295/CEP68/BBS4/TUBE1/PPP1R12A/PARD6B/PCLAF/CCDC57/SLC16A1/ATF5/MCPH1/PLK2/CHMP4B/CROCC/MAP9/KIF15/BRSK1/USP33/TUBA1A/RANBP1/KAT2A/WDR90/PARD6A/PKD2/ROCK2/SASS6/GEN1/PPP1R35/KAT2B/CCDC15/NDC80/STK3/DNM2/CNTLN/CEP63/CHMP3/ARL2/RTTN/MDM1/CEP44/CCP110/XPO1/PDCD6IP/MARK4/UXT/HAUS8/CKAP5/CCNL1/SAC3D1/UBXN2B/RAB6C/HAUS6/ARHGEF10/FES/GOLGA2/ODF2/UVRAG/GADD45A/PARD6G/POC5/KIAA0753/HAUS7/ALMS1/BRCA1/SIRT1/CETN1/KIF3A/CEP135/CHMP2B/HAUS4/CETN3/CEP85/CETN2/KIF3B/NPM1/KIF25/CEP192/BNIP2/NUBP1/XRCC3/KIAA1614/HEPACAM2/CHMP1A/ITGB1BP2/HAUS3/CCDC42/CHMP5/FBXW5/CEP131/CEP76/VPS4B/HAUS1",148
"GO:0034599","cellular response to oxidative stress","254/16516","264/18860",0.962121212121212,1.09866832529705,4.28551397159884,9.20679171461596e-07,9.20679171461596e-07,5.93307160853405e-06,"SLC1A1/PRKRA/MAP3K5/CYP1B1/SLC8A1/MGST1/EDNRA/IL6/PEX5/EDN1/BMAL1/DHFR/GPX7/PAWR/AGAP3/TNFAIP3/MMP3/MPV17/MAPT/PEX13/CYGB/STX2/FOXO1/STX4/MGAT3/SIRT2/SOD2/TXN/NME8/FOS/TRPC6/ATP7A/ABL2/HM13/MEAK7/PLEKHA1/MAPK9/MMP2/ERN1/PDGFD/SRC/STK24/AIFM2/PRKD1/ATP2A2/BNIP3/ETV5/CDKN2A/TP53/FANCD2/ALOX5/PINK1/RBX1/FBLN5/GPX8/NAGLU/PRR5L/MIR92A1/XBP1/SNCA/NCOA7/FYN/PRKCD/TRPA1/SLC11A2/ECT2/BRF2/FBXO31/RAD52/ZC3H12A/GPX1/AIF1/SOD3/PCGF2/CDK1/STAU2/ERMP1/ZNF277/PRKAA1/AIFM1/PML/ATF4/RHOB/SIRPA/ROMO1/PYCR1/SLC7A11/PPARGC1A/NFE2L2/PRDX2/TPM1/SPHK1/TBC1D24/PPIA/NET1/KDM6B/ATM/RACK1/PDK2/MIR21/ALDH3B1/ARNT/USP25/ARL6IP5/RBM11/PJVK/CD36/PXN/PEX2/GCH1/PYROXD1/NPPA/STK26/HTRA2/BECN1/TP53INP1/MAPK8/PDGFRA/FUT8/CCS/MDM2/PRKAA2/FER/FXN/MET/LRRK2/PRKN/KLF2/FOXP1/LCN2/MAP1LC3A/AMBP/NR4A2/PRDX5/TRPM2/RWDD1/TREX1/HDAC6/HSF1/GPR37L1/TRAP1/MSRA/PEX14/CUL1/TRIM25/PKD2/EIF2S1/KEAP1/ATF2/KAT2B/PLA2R1/SLC25A14/RIPK3/TET1/HDAC2/NQO1/MPO/FOXO4/MAPK13/CFL1/FOXO3/SIN3A/PCNA/PNPLA8/AKT1/ENDOG/PARK7/OGG1/GATA5/IL18RAP/CAMKK2/GPR37/OXR1/HSPA1B/MB/UCP1/GPX5/SETX/PRDX3/PRDX1/PARP1/HGF/PPP5C/WNT16/DHRS2/MAPKAP1/PEX10/BMP7/IL18BP/VRK2/OSER1/PEX12/APOA4/STAU1/SOD1/ERCC6L2/FADS2/AQP1/HSPA1A/PYCR2/CHCHD2/DAPK1/ATP13A2/PAM/G6PD/ADPRS/EZH2/PTPRK/BTK/MYB/PPIF/DDR2/RIPK1/SIRT1/SLC4A11/MT3/ANKZF1/FANCC/PPEF2/SRXN1/TMEM161A/RELA/TOP2B/ABCD1/VKORC1L1/CAT/MAPK7/ABL1/CUL3/SESN2/RPS3/SMPD3/NFE2L1/PNPT1/ZNF580/NUDT2/CBX8/ABCC1/KLF4/LONP1/CRYGD/GSR/SLC25A24/SELENON/SUMO4/PENK/SELENOS/MAP2K4/FABP1/CA3/HIF1A/PDCD10/NOS3/STK25",254
"GO:0001823","mesonephros development","103/16516","103/18860",1,1.14192298377331,3.83373968047886,1.11217697706313e-06,1.11217697706313e-06,6.96574001423751e-06,"GREM1/HES1/SIX1/BASP1/TCF21/NOG/DLG1/FGF1/FOXC2/WNT1/WT1/OSR2/ROBO2/PBX1/SPRY1/SFRP1/GLI3/GATA3/MYC/PTCH1/AGT/VEGFA/SIX2/ZBTB16/BCL2/TACSTD2/LZTS2/FGFR2/SMAD4/AGTR2/LGR4/SIM1/OSR1/RARB/HOXB7/WNT4/WNT2B/SMAD6/SDC4/HS3ST3B1/SOX8/HS3ST3A1/PKD1/HOXD11/SMAD7/GREB1L/KIF26B/FOXJ1/TMEM59L/CRLF1/WNT6/MAGED1/CTNNB1/SMAD3/ADAMTS16/EYA1/BMP2/PAX8/BMP4/RET/SHH/GDNF/DCHS1/SOX9/HNF1B/HS2ST1/RARA/CER1/PKD2/NPNT/GPC3/ARG2/SIX4/SLIT2/SMAD1/PAX2/GDF11/FGFR1/BMP7/WNT11/SMAD5/FGF2/BMPER/CALB1/CITED1/FOXC1/SALL1/GZF1/LHX1/HOXA11/SMAD2/WNT9B/TGFB1/CAT/EPCAM/FOXD1/ILK/SMO/FGF8/REN/CTNNBIP1/FGF10/LAMA5",103
"GO:0018212","peptidyl-tyrosine modification","122/16516","123/18860",0.991869918699187,1.13263905707597,3.91748116287465,1.42966097909101e-06,1.42966097909101e-06,8.77268854701828e-06,"FLT1/JAK3/HES1/ABI2/ITGB2/IL6/SFRP2/ERRFI1/TPST2/SFRP1/KIT/NEDD9/PTK2B/EFNA1/ABL2/VEGFA/CSF1R/SRC/EGFR/ZGPAT/CNOT7/DYRK1A/EPHA7/PTPN2/VPS25/FGFR2/IL31RA/ERBB4/EFNA5/TNFRSF18/RAP2B/SNX6/PRLR/FYN/ZFYVE28/ENPP2/SRMS/THBS4/ERBB2/LTK/IGF1R/CADM4/SYK/ALK/VEGFB/NRG1/TNK2/PDGFB/ANGPT1/LCK/ABI1/PTK2/NTRK1/TNFSF18/FLT4/BANK1/IL15/MVP/EPHA3/JAK2/LILRA5/CD80/PDGFRA/HCK/FER/CSPG4/ARHGEF2/IL20/FGR/CASS4/IL11/EFEMP1/RAP2C/SAMSN1/DDR1/SRCIN1/EPHB2/GPRC5A/GPRC5B/SOCS5/FGFR4/FGF7/IL21/ZAP70/FGFR1/UNC119/DMTN/LYN/FES/SOCS4/PARP9/OSM/BTK/KDR/TSG101/BLK/IFNL1/DDR2/PDGFRB/LIF/IL12A/PARP14/LACRT/MAPK3/CTF1/ARL2BP/IFNG/PIBF1/PTK6/FLT3/CNTF/RIPK2/PTPN6/HRG/PDCL3/FGFR3/DOK7/ANGPT4/CHMP6/FGF10/IL18/PKDCC",122
"GO:0018108","peptidyl-tyrosine phosphorylation","121/16516","122/18860",0.991803278688525,1.13256295931615,3.89918150953971,1.62140876740557e-06,1.62140876740557e-06,9.80030065034877e-06,"FLT1/JAK3/HES1/ABI2/ITGB2/IL6/SFRP2/ERRFI1/SFRP1/KIT/NEDD9/PTK2B/EFNA1/ABL2/VEGFA/CSF1R/SRC/EGFR/ZGPAT/CNOT7/DYRK1A/EPHA7/PTPN2/VPS25/FGFR2/IL31RA/ERBB4/EFNA5/TNFRSF18/RAP2B/SNX6/PRLR/FYN/ZFYVE28/ENPP2/SRMS/THBS4/ERBB2/LTK/IGF1R/CADM4/SYK/ALK/VEGFB/NRG1/TNK2/PDGFB/ANGPT1/LCK/ABI1/PTK2/NTRK1/TNFSF18/FLT4/BANK1/IL15/MVP/EPHA3/JAK2/LILRA5/CD80/PDGFRA/HCK/FER/CSPG4/ARHGEF2/IL20/FGR/CASS4/IL11/EFEMP1/RAP2C/SAMSN1/DDR1/SRCIN1/EPHB2/GPRC5A/GPRC5B/SOCS5/FGFR4/FGF7/IL21/ZAP70/FGFR1/UNC119/DMTN/LYN/FES/SOCS4/PARP9/OSM/BTK/KDR/TSG101/BLK/IFNL1/DDR2/PDGFRB/LIF/IL12A/PARP14/LACRT/MAPK3/CTF1/ARL2BP/IFNG/PIBF1/PTK6/FLT3/CNTF/RIPK2/PTPN6/HRG/PDCL3/FGFR3/DOK7/ANGPT4/CHMP6/FGF10/IL18/PKDCC",121
"GO:1990748","cellular detoxification","118/16516","120/18860",0.983333333333333,1.12289093404376,3.58474806146455,1.88350796931121e-05,1.88350796931121e-05,8.29344306487142e-05,"SLC39A8/APOE/PRXL2A/HP/GPX3/MGST1/DHFR/GPX7/APOM/ALB/ABCG2/AKR1B10/CYGB/SOD2/TXNRD1/TXN/ATP7A/GSTT1/PRDX6/PTGS2/SLC11A1/AIFM2/PNKD/HBA1/HBA2/FBLN5/GPX4/GPX8/LPO/SLC22A2/LANCL1/SELENOW/GSTZ1/RDH12/ADH4/GPX1/HBB/SOD3/SELENOT/RDH11/GSTA1/ALDH1A1/MGST3/SLC22A3/CP/LTC4S/NFE2L2/PRDX2/S100A9/TXNDC17/CD36/GCH1/GSTO2/NXN/TP53INP1/ADH5/CCS/GSTM3/CLIC2/AMBP/PRDX5/PIM1/EPX/GSTP1/UBIAD1/PTGES/MTARC2/NQO1/MPO/GSTK1/ESD/PARK7/TXNDC2/MB/GATD1/GPX5/PRDX3/PRDX1/GSTO1/BMP7/PXDN/APOA4/MGST2/DUOX1/SOD1/NNT/TXNRD3/RAB29/SLC22A1/ABCB6/PXDNL/RAB40B/PTGS1/PRDX4/MT3/TXNRD2/SRXN1/CAT/SELENOF/DUOX2/MTARC1/SESN2/SLC29A4/ALOX5AP/AKR1A1/SESN1/HAGH/GSR/IPCEF1/GSTM2/GSTM1/AQP8/SELENOS/ALDH2/GPX2/FABP1/TPO/NOS3",118
"GO:0000302","response to reactive oxygen species","197/16516","205/18860",0.960975609756098,1.09736013562606,3.72043257038084,2.15795813927212e-05,2.15795813927212e-05,9.38810405121724e-05,"APOE/HP/MAP3K5/STAT1/CYP1B1/SLC8A1/IL6/PEX5/EDN1/ERCC6/COL1A1/DHFR/COL6A1/PAWR/AGAP3/TNFAIP3/MMP3/MPV17/MAPT/PEX13/CYGB/SOD2/TXN/NME8/PLK3/FOS/TRPC6/ATP7A/PLEKHA1/MAPK9/MMP2/ERN1/PDGFD/SRC/ABCC9/BCL2/HBA1/HBA2/BNIP3/CDKN2A/PINK1/FBLN5/MIR92A1/FCHSD1/FYN/PRKCD/DUSP1/TRPA1/ECT2/NUDT15/GPX1/HBB/SOD3/PCGF2/CDK1/ZNF277/PRKAA1/AIFM1/RHOB/SIRPA/ROMO1/UCP2/NFE2L2/PRDX2/TPM1/SPHK1/NET1/KDM6B/CASP3/ATM/RACK1/PDK2/MIR21/HMOX1/PRKCA/PJVK/CD36/PXN/PEX2/S100A7/KPNA4/GCH1/NPPA/ADCYAP1R1/BECN1/MAPK8/SESN3/PDGFRA/CCS/MDM2/FER/FXN/MET/LRRK2/KLF2/FOXP1/LCN2/MAP1LC3A/AMBP/PRDX5/TRPM2/COA8/TREX1/HDAC6/HSF1/GPR37L1/TRAP1/GSTP1/PEX14/PPP2CB/NR4A3/PKD2/AREG/CRK/RIPK3/TET1/HDAC2/NQO1/MPO/SCGB1A1/MAPK13/CFL1/FOXO3/PCNA/AKT1/ENDOG/PARK7/OGG1/GATA5/IL18RAP/PPP1R15B/CAMKK2/ADAM9/GPR37/MB/UCP1/SETX/PRDX3/PRDX1/TACR1/HGF/PPP5C/TXNIP/PEX10/EEF2/BMP7/APOD/IL18BP/OSER1/PEX12/APOA4/RLIG1/SOD1/ERCC6L2/AQP1/CRYAA/CAPN2/ADPRS/EZH2/PTPRK/BTK/MYB/PPIF/DDR2/RIPK1/SIRT1/CRYAB/MT3/ANKZF1/HYAL1/PPEF2/TXNRD2/HYAL2/RELA/TOP2B/KCNA5/CAT/MAPK7/ABL1/SESN2/UCP3/RPS3/SMPD3/ZNF580/SESN1/CBX8/KLF4/CRYGD/BAK1/PTPRN/MAP2K4/FABP1/CA3/HIF1A/PDCD10/NOS3/STK25",197
"GO:0050730","regulation of peptidyl-tyrosine phosphorylation","79/16516","79/18860",1,1.14192298377331,3.35536589669476,2.73270429101109e-05,2.73270429101109e-05,0.000116104186005285,"HES1/ITGB2/IL6/SFRP2/ERRFI1/SFRP1/KIT/NEDD9/EFNA1/VEGFA/CSF1R/EGFR/ZGPAT/CNOT7/EPHA7/PTPN2/VPS25/IL31RA/ERBB4/EFNA5/TNFRSF18/RAP2B/SNX6/ZFYVE28/ENPP2/THBS4/CADM4/VEGFB/NRG1/TNK2/ANGPT1/ABI1/TNFSF18/BANK1/IL15/MVP/JAK2/LILRA5/CD80/CSPG4/ARHGEF2/IL20/CASS4/IL11/RAP2C/SAMSN1/SRCIN1/GPRC5A/GPRC5B/SOCS5/FGF7/IL21/UNC119/DMTN/SOCS4/PARP9/OSM/TSG101/IFNL1/LIF/IL12A/PARP14/LACRT/CTF1/ARL2BP/IFNG/PIBF1/PTK6/FLT3/CNTF/RIPK2/HRG/PDCL3/FGFR3/DOK7/ANGPT4/CHMP6/FGF10/IL18",79
