"ProbeID","logFC","P.Value"
"A_33_P3245021",-1.279331525,8.38207786483501e-06
"A_23_P380871",-1.4076175375,3.07871581678266e-05
"A_32_P147622",2.826067125,5.15421892702193e-05
"A_23_P346327",-1.0124592375,0.000145122887884825
"A_23_P117582",1.311106875,0.000183476041421553
"A_23_P23090",-1.189534175,0.000186344983217783
"A_33_P3377304",1.03679185,0.000202815025583052
"A_32_P179998",1.911557025,0.000236978723515973
"A_33_P3405995",-1.1185590625,0.000365402810579414
"A_33_P3301514",-1.2317619,0.000401266750886318
"A_33_P3355937",-1.097389625,0.000411995844089342
"A_21_P0013987",2.3741789,0.00066774181815051
"A_23_P314755",-1.4449585125,0.000692400127873769
"A_33_P3383491",-1.1648451875,0.000725529562978835
"A_21_P0000190",1.5000510125,0.000740875763388112
"A_21_P0004926",1.17819355,0.000801684083518617
"A_21_P0012111",1.784618175,0.000835831931309862
"A_33_P3373690",-1.44867,0.000838577568564417
"A_23_P125435",3.3421695375,0.000863811702445756
"A_33_P3284311",-1.02808615,0.000876376589665364
"A_24_P339944",1.494335475,0.000908143362310795
"A_23_P56578",4.1767389,0.00109973681003724
"A_23_P86751",2.355091425,0.00111889308432918
"A_33_P3375556",1.3347370125,0.0011385408575268
"A_23_P133474",1.80663335,0.00122839235017087
"A_21_P0008912",-1.8655573375,0.00146737637324332
"A_21_P0004982",-1.1708895875,0.00163998325255623
"A_21_P0003420",-1.1761551125,0.00164895924074863
"A_21_P0012495",1.4383321625,0.00180172819761135
"A_33_P3372910",1.702303425,0.00180652003231438
"A_23_P110234",-1.00600155,0.001829421263536
"A_33_P3772150",1.2977339125,0.00184688547505336
"A_33_P3290959",1.368178,0.00190348476816724
"A_21_P0014277",1.732369725,0.00206116921453492
"A_21_P0011563",1.2296051,0.00211304132320365
"A_21_P0013451",-1.3512267125,0.00215872823078479
"A_33_P3367356",-1.022482375,0.00222812534473945
"A_21_P0008185",-1.05145285,0.00223581937266426
"A_23_P373464",1.3560714875,0.002283085454672
"A_33_P3367196",-2.0680985625,0.00250045572908209
"A_21_P0003298",2.10915115,0.00251534818845757
"A_21_P0011629",-1.631473475,0.00260265593452718
"A_21_P0004798",1.2579302,0.00260299306196133
"A_21_P0008117",-1.4134194,0.00267237702614555
"A_21_P0012086",1.9207734625,0.00274773278655901
"A_33_P3511265",-2.8811729375,0.00275168004862962
"A_23_P397320",-1.761122675,0.00282394311273007
"A_24_P339514",1.1077804875,0.00292219977589014
"A_21_P0013526",-1.098102475,0.00296727092680791
"A_21_P0010909",1.0629382125,0.00299210450651088
"A_23_P46105",-1.309542,0.00302705918336759
"A_33_P3369371",2.0438598,0.00321001091205985
"A_24_P926960",2.900278825,0.00327610781866575
"A_33_P3220822",-1.222445175,0.00347718740019228
"A_33_P3358511",1.0310723125,0.00349060116657718
"A_21_P0003165",2.0254308625,0.00351316836411532
"A_23_P13455",-1.2673809,0.00353091701795708
"A_21_P0013576",1.0962767375,0.00360761004836219
"A_21_P0011469",-2.1565589,0.00367639882128155
"A_33_P3366221",2.3534902125,0.00375305810337303
"A_23_P49155",1.780147725,0.00413044031096684
"A_21_P0000072",-1.13930895,0.00414591901793884
"A_33_P3316790",1.5192670125,0.00424134491296431
"A_21_P0006826",1.7971397125,0.00429317612165734
"A_33_P3341601",1.7226435125,0.00433326703478082
"A_32_P219148",1.117837625,0.00438789402832162
"A_21_P0006150",-2.47152435,0.00449270957912006
"A_33_P3322874",-1.22995835,0.00455150469279081
"A_19_P00330814",1.2568568625,0.00468731864439435
"A_23_P399255",2.3522577375,0.00477156109103445
"A_23_P413157",-1.13104505,0.00481542607818998
"A_21_P0003853",1.586456725,0.00490048001206792
"A_24_P411186",1.1350911375,0.00490400121553717
"A_33_P3331916",-1.0460045,0.00533518810808086
"A_19_P00322017",1.30739975,0.00535647506086613
"A_21_P0008779",1.1716190875,0.00542623904763995
"A_21_P0013002",-1.1165833,0.0055404707026539
"A_23_P168130",1.5903867625,0.00572934713931328
"A_33_P3394380",-1.5086983875,0.00596360535579281
"A_21_P0010121",-1.45920145,0.00645803015236149
"A_21_P0007850",1.672488675,0.00650139410923192
"A_24_P70183",3.05043475,0.00652748624672009
"A_23_P202520",1.1196264375,0.0067317605152115
"A_33_P3389973",-1.0541586375,0.00676975758495266
"A_24_P759674",1.029619075,0.00689527960106033
"A_23_P157793",-1.698894825,0.00714675995562812
"A_23_P215060",-1.6209526375,0.00715098992207313
"A_19_P00317731",-1.1406045875,0.00719104720115149
"A_23_P1374",1.637573525,0.0072176655713669
"A_23_P414519",-1.135637975,0.00722695968670893
"A_24_P9883",1.6586402375,0.00740052957277006
"A_23_P398854",2.0750761,0.00744320617664867
"A_33_P3256287",-1.0312372625,0.00752613526080302
"A_33_P3357949",-1.5348889875,0.00760033888411421
"A_23_P140848",-1.21341,0.00761229828408522
"A_21_P0004508",-1.1617372375,0.00774175590550034
"A_24_P303420",1.6052060125,0.00774738662938106
"A_21_P0014620",1.043026475,0.00786319991702169
"A_21_P0002354",1.6382766,0.00788194035196798
"A_21_P0005644",-1.1811235125,0.00790912401530779
"A_33_P3301782",1.42902545,0.00791237525084558
"A_19_P00320998",-1.02008795,0.00807933323667672
"A_33_P3225630",1.0524659125,0.0082100601639797
"A_24_P764690",-1.04193055,0.008403128612748
"A_21_P0013652",1.0304159,0.00842729807951697
"A_33_P3280646",2.9133694375,0.00846173749110706
"A_21_P0007456",1.0037635125,0.00853740509909044
"A_24_P788878",-1.776511575,0.0085959058242039
"A_23_P402936",-1.78429695,0.00865728757931774
"A_33_P3313125",-1.3090461875,0.00872416791740061
"A_23_P206920",3.0759093125,0.00878655682038133
"A_21_P0010624",1.7462675875,0.00891835794360086
"A_33_P3403937",1.682250325,0.00894413905586514
"A_21_P0014542",-2.3148089375,0.0089910167427234
"A_33_P3405864",-1.07277895,0.00899392026942547
"A_33_P3215843",3.257692,0.0090125807059537
"A_33_P3351175",1.6350082125,0.00906479681704737
"A_24_P82155",1.1034992125,0.00911032945442408
"A_21_P0003329",1.0327275125,0.00966879375699866
"A_23_P103720",-1.0039704625,0.00975966635156912
"A_23_P352494",1.2344421625,0.00984623658634398
"A_33_P3220113",1.0636967125,0.00992354825729851
"A_21_P0009124",1.141169775,0.0102091556825178
"A_33_P3366336",1.6520461,0.0102636538002499
"A_23_P405878",1.33197705,0.0102652372426495
"A_21_P0004513",1.3822029125,0.0103471752689966
"A_23_P17695",1.030319575,0.0103934613045069
"A_33_P3228807",1.1003891,0.010462718874575
"A_23_P156562",2.40318245,0.0104954123471422
"A_33_P3418005",1.341427275,0.0105255212622606
"A_23_P381489",-1.0047651,0.0107053756750004
"A_33_P3222947",-1.6859491,0.0109485837159774
"A_23_P1029",2.3577904375,0.0111099219203706
"A_33_P3270826",1.511460725,0.0111573633206724
"A_24_P252364",-1.9309955,0.011502008516027
"A_21_P0010850",-2.199218425,0.0115659766263756
"A_21_P0013086",1.5341343,0.0116067898248292
"A_23_P46879",-2.05565625,0.0117181101381003
"A_24_P213161",-2.0640773125,0.0117506446090492
"A_21_P0004996",-1.209265475,0.0118049136444942
"A_21_P0013186",1.1492824,0.0118607382270922
"A_33_P3392192",2.83493775,0.0119756874773872
"A_33_P3237393",-2.174218325,0.0121430978389468
"A_24_P160969",1.2034904625,0.0121647987359444
"A_21_P0006760",-1.181550175,0.0123814327665855
"A_32_P88231",-1.15267465,0.0124852556656771
"A_21_P0009762",1.023653375,0.0127475333420505
"A_21_P0005499",-1.6197368625,0.0128710342081632
"A_33_P3233645",-1.72736065,0.0130705234490663
"A_23_P150549",-2.154266825,0.0132663128474518
"A_32_P39444",1.16069635,0.0132696442411787
"A_21_P0001563",-1.1473532875,0.0133574925445484
"A_23_P47728",1.162595575,0.0133833822199959
"A_24_P23411",-1.1127297875,0.0134439141407506
"A_21_P0010618",1.6775941625,0.0134947605289922
"A_23_P22647",1.087249575,0.0136508153358782
"A_23_P55270",3.1119610375,0.0139840413398774
"A_23_P117662",-1.173717625,0.0140250574018985
"A_23_P112798",1.0496583125,0.014086733280649
"A_23_P304509",1.3718997625,0.0146326112568423
"A_21_P0011427",1.7469844875,0.0146471732383177
"A_24_P680657",-1.8920234375,0.0146553403280988
"A_21_P0012164",1.453740075,0.0146933745906669
"A_33_P3303146",-1.2629929375,0.0146983761864445
"A_21_P0003781",-1.1045382,0.0147118259682476
"A_24_P402588",1.02649665,0.0147891564589278
"A_33_P3409575",-1.12154155,0.0149128321476453
"A_23_P38244",-1.4749213125,0.0150140083919821
"A_21_P0003122",3.407263025,0.015063879877734
"A_23_P7412",3.72847875,0.0150678136196673
"A_21_P0012438",1.9523810375,0.0151715790146016
"A_21_P0009496",-1.8722716875,0.015251848972967
"A_21_P0014590",1.128830375,0.0153513570616932
"A_21_P0013496",-1.5349556875,0.0154047635797173
"A_23_P45536",1.577552125,0.016017517795147
"A_21_P0008110",-1.0715674375,0.0160286938439517
"A_33_P3376131",-1.04380685,0.0160911630667189
"A_21_P0007846",-1.52729095,0.016121998158305
"A_21_P0013305",1.78033705,0.016436617021716
"A_24_P228796",1.5083626625,0.0164637939164119
"A_21_P0002531",-2.4404708875,0.0165970834719301
"A_33_P3419865",1.1222505125,0.0166795000359596
