"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"219073_s_at",0.940564999999998,8.1692225,6.7880667710277,7.05324897883986e-05,0.999986929681086,-2.9049354301079
"213802_at",0.861450000000002,7.877965,6.61671577582705,8.6102447458415e-05,0.999986929681086,-2.92521550375874
"203200_s_at",0.541040000000001,9.625045,6.42933156029248,0.000107529296405275,0.999986929681086,-2.94872237030932
"213975_s_at",-1.269185,5.19411,-6.40285467454366,0.000110998271515551,0.999986929681086,-2.95216138938403
"204320_at",1.1461775,7.82974875,5.95574186100697,0.000192334298605382,0.999986929681086,-3.01502085877322
"37892_at",1.3963,8.2542275,5.63619519824146,0.000289544240402455,0.999986929681086,-3.06607205267387
"241404_at",2.3008675,5.93197625,5.62011790647748,0.000295673947093569,0.999986929681086,-3.06878926416472
"225275_at",1.294825,10.3541625,5.53278205987534,0.000331518296875947,0.999986929681086,-3.08381202643605
"204337_at",1.20725,12.213975,5.50502407438902,0.000343873116273879,0.999986929681086,-3.08868097465879
"204529_s_at",1.80483,5.1769075,5.48978328785205,0.00035086739663412,0.999986929681086,-3.0913739634045
"235587_at",-0.613465,6.2266025,-5.4803194870896,0.000355287722742712,0.999986929681086,-3.09305323507398
"230660_at",1.0828525,6.59433625,5.44223865416448,0.000373691802488139,0.999986929681086,-3.09986540692249
"206704_at",0.654315,6.7133975,5.3739812786591,0.000409306750993331,0.999986929681086,-3.11229960479053
"201976_s_at",0.702137499999999,10.14958125,5.36379068905508,0.000414930960243135,0.999986929681086,-3.11418099092162
"231361_at",0.6658075,5.64523375,5.35134225618764,0.000421914638479342,0.999986929681086,-3.11648813165453
"205679_x_at",1.617305,8.2924225,5.23708459039101,0.000492268925144586,0.999986929681086,-3.1381295901121
"237939_at",2.5014825,5.16379875,5.23192081690924,0.000495733712495425,0.999986929681086,-3.1391277968318
"1568618_a_at",0.694700000000001,10.668525,5.20692713298305,0.000512879324293991,0.999986929681086,-3.14398435786803
"206757_at",0.583607500000002,4.22177125,5.17288314571235,0.000537268443821808,0.999986929681086,-3.15066678543384
"235171_at",1.6111375,4.84753875,5.02123995284599,0.000662123775692528,0.999986929681086,-3.18139892294491
"217161_x_at",1.2054875,8.30658125,4.99114601183327,0.000690429288219239,0.999986929681086,-3.18769025453623
"238623_at",-0.857782499999999,9.84818375,-4.98856127812464,0.000692920346411528,0.999986929681086,-3.18823364561343
"204338_s_at",1.1077,8.552925,4.95430027282483,0.000726867700404264,0.999986929681086,-3.1954820898718
"223618_at",0.665527500000001,9.87878375,4.90298212352619,0.000781100378949422,0.999986929681086,-3.20649989125935
"223315_at",2.0261825,9.35476625,4.84782095696688,0.000844273704276232,0.999986929681086,-3.2185610559738
"225544_at",-0.677032500000001,10.07235875,-4.84216344158734,0.000851056340709043,0.999986929681086,-3.2198110375783
"218468_s_at",0.680674999999995,13.0554125,4.79899451188644,0.000904774959152366,0.999986929681086,-3.22942908885321
"206805_at",0.787469999999997,7.02421,4.73076259495402,0.000997230002266473,0.999986929681086,-3.24492423122291
"227961_at",0.696175,11.2718875,4.72987879050343,0.000998491987118982,0.999986929681086,-3.24512732276918
"229125_at",-0.9188,6.75851,-4.72070713764574,0.00101168961688239,0.999986929681086,-3.24723852818568
"230538_at",-0.655995,5.07096,-4.71792203696761,0.00101573413821818,0.999986929681086,-3.24788093750328
"243813_at",1.045585,7.8300775,4.70711146784734,0.00103159801378957,0.999986929681086,-3.25038030146894
"219682_s_at",-0.903902500000001,9.05577375,-4.70539128072842,0.00103414665370659,0.999986929681086,-3.25077885528712
"212365_at",0.516535000000001,10.3056325,4.65554856657645,0.00111099943677814,0.999986929681086,-3.26242937943254
"229576_s_at",-0.631415000000002,7.20576,-4.5933917262246,0.00121550306462178,0.999986929681086,-3.277238865248
"211373_s_at",0.611992499999999,7.60457875,4.5702052201389,0.00125713607884287,0.999986929681086,-3.28284415905193
"201721_s_at",-0.517272500000001,7.01341375,-4.52678637303193,0.0013392512615509,0.999986929681086,-3.29346033870524
"222586_s_at",0.816969999999998,6.999355,4.4484366630008,0.0015022720225049,0.999986929681086,-3.31301816577318
"227875_at",0.988637500000003,6.98124375,4.43056409931975,0.00154234701170949,0.999986929681086,-3.31755280143502
"213764_s_at",0.548525000000003,11.8532375,4.42515463984119,0.00155469996906796,0.999986929681086,-3.31893070902677
"201723_s_at",0.589099999999998,10.4073,4.41375161410146,0.00158108655670738,0.999986929681086,-3.32184358188383
"244183_x_at",0.8622525,3.90780625,4.36131266191874,0.00170872397896815,0.999986929681086,-3.33538438559526
"235209_at",1.7339125,7.07832625,4.35816423036105,0.00171672872774389,0.999986929681086,-3.33620502392714
"212551_at",0.67764,9.30686,4.33269124976363,0.00178297986496686,0.999986929681086,-3.34287665759397
"235770_at",-0.6268575,6.91092125,-4.32582608118318,0.00180129692252931,0.999986929681086,-3.34468452284209
"237206_at",1.13228,5.5144475,4.32227514980516,0.00181084970189369,0.999986929681086,-3.34562126011236
"213765_at",0.550950000000004,11.58705,4.27252245073061,0.00195051510460322,0.999986929681086,-3.35886421568678
"213425_at",0.754344999999998,8.120065,4.26385633136457,0.001975992490648,0.999986929681086,-3.36119360822099
"223000_s_at",-0.98943,6.7408475,-4.26081302358857,0.00198502319880342,0.999986929681086,-3.36201323338248
"227123_at",0.787612500000002,9.25091125,4.20725241949787,0.00215134817949057,0.999986929681086,-3.37657553798463
"207692_s_at",1.5357525,8.15507375,4.16619070738303,0.00228886221223955,0.999986929681086,-3.38791704822098
"201645_at",-1.30595,11.0937,-4.10246986470839,0.00252104212714918,0.999986929681086,-3.40582610194048
"210989_at",-0.513470000000001,5.656265,-4.08599134529672,0.00258506263170384,0.999986929681086,-3.4105192103305
"204416_x_at",-0.728425000000001,7.1557825,-4.08236994068891,0.00259936164343084,0.999986929681086,-3.41155401466978
"204262_s_at",0.508002500000002,7.87115125,4.07995699238421,0.00260893559803783,0.999986929681086,-3.41224419243823
"238127_at",-0.8517575,6.06190375,-4.04860875912439,0.00273676900685642,0.999986929681086,-3.42126074369398
