"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","6/72","105/9507",0.0571428571428571,7.5452380952381,5.89120555724,0.000136118301595348,0.0242290576839719,0.023355034905307,"643847/128966586/124906959/5222/643834/63036",6
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","7/72","233/9507",0.0300429184549356,3.96691702432046,4.00538268686154,0.0018464539963036,0.16433440567102,0.158406316524993,"4607/4629/7136/4001/4624/4619/23224",7
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","2/72","22/9507",0.0909090909090909,12.0037878787879,4.51366251181764,0.0118476565036638,0.532013695948294,0.512822190653885,"3067/10841",2
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","3/72","63/9507",0.0476190476190476,6.28769841269841,3.67835095544193,0.0119553639538942,0.532013695948294,0.512822190653885,"874/1555/1571",3
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","3/72","79/9507",0.0379746835443038,5.01424050632911,3.1296901900912,0.0218547359541739,0.534224958523337,0.514953685625689,"874/1555/1571",3
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","4/72","142/9507",0.028169014084507,3.71948356807512,2.85214053749147,0.0224408801422121,0.534224958523337,0.514953685625689,"3162/1728/596/5155",4
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","3/72","80/9507",0.0375,4.9515625,3.100425472134,0.0225854303179291,0.534224958523337,0.514953685625689,"596/10018/5155",3
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","2/72","32/9507",0.0625,8.25260416666667,3.58982729963529,0.0242334172600109,0.534224958523337,0.514953685625689,"596/10018",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","4/72","160/9507",0.025,3.30104166666667,2.56414484219237,0.0328689849409391,0.534224958523337,0.514953685625689,"149461/9076/4897/1013",4
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","2/72","41/9507",0.0487804878048781,6.44105691056911,3.04990384636615,0.0383593225236676,0.534224958523337,0.514953685625689,"2560/2903",2
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","3/72","99/9507",0.0303030303030303,4.00126262626263,2.62220803614901,0.0389749885467104,0.534224958523337,0.514953685625689,"4607/4624/55799",3
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","4/72","170/9507",0.0235294117647059,3.10686274509804,2.42131462911444,0.039708603658498,0.534224958523337,0.514953685625689,"27134/4629/149461/9076",4
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","3/72","105/9507",0.0285714285714286,3.77261904761905,2.49556524969297,0.045125382879247,0.534224958523337,0.514953685625689,"4607/4624/55799",3
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","3/72","106/9507",0.0283018867924528,3.73702830188679,2.47536585164496,0.0461948661165015,0.534224958523337,0.514953685625689,"63036/5406/8671",3
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","4/72","183/9507",0.0218579234972678,2.88615664845173,2.25058993427908,0.0497317996940082,0.534224958523337,0.514953685625689,"728343/56001/596/4938",4
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","3/72","110/9507",0.0272727272727273,3.60113636363636,2.39695041839144,0.050597956833689,0.534224958523337,0.514953685625689,"3162/284/596",3
NA,NA,"hsa03272","Virion - Hepatitis viruses","2/72","48/9507",0.0416666666666667,5.50173611111111,2.73131783286193,0.0510214848027906,0.534224958523337,0.514953685625689,"149461/9076",2
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","6/72","371/9507",0.0161725067385445,2.13544474393531,1.9488082728201,0.0614063985156565,0.567968008112879,0.547479511072733,"2878/728343/56001/596/116442/2903",6
"Cellular Processes","Cell motility","hsa04814","Motor proteins","4/72","197/9507",0.0203045685279188,2.68104906937394,2.08272947905695,0.0619515525183774,0.567968008112879,0.547479511072733,"4629/7136/4624/4619",4
NA,NA,"hsa04082","Neuroactive ligand signaling","4/72","199/9507",0.0201005025125628,2.65410385259631,2.05994357722032,0.0638166301250425,0.567968008112879,0.547479511072733,"2560/5029/2903/9127",4
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","2/72","58/9507",0.0344827586206897,4.55316091954023,2.37099233499452,0.0712763970346071,0.604152317721908,0.582358532162454,"7378/5169",2
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","3/72","137/9507",0.0218978102189781,2.89142335766423,1.94793040738275,0.0852900037577002,0.643252191601986,0.620047943412914,"4001/596/10018",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","1/72","12/9507",0.0833333333333333,11.0034722222222,3.02892214167024,0.0872372657730192,0.643252191601986,0.620047943412914,"1728",1
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","5/72","320/9507",0.015625,2.06315104166667,1.68996340730393,0.0946017142648985,0.643252191601986,0.620047943412914,"3162/596/90427/10018/5155",5
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","2/72","73/9507",0.0273972602739726,3.6175799086758,1.96113569129094,0.105529989611029,0.643252191601986,0.620047943412914,"1555/1571",2
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","4/72","238/9507",0.0168067226890756,2.21918767507003,1.66393670524157,0.105895338582388,0.643252191601986,0.620047943412914,"9846/284/5155/2903",4
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","3/72","154/9507",0.0194805194805195,2.57224025974026,1.71829611067735,0.111148533378268,0.643252191601986,0.620047943412914,"596/4624/55799",3
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","3/72","159/9507",0.0188679245283019,2.49135220125786,1.65658464227486,0.119272194013423,0.643252191601986,0.620047943412914,"149461/9076/4938",3
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","1/72","17/9507",0.0588235294117647,7.7671568627451,2.439449314235,0.121330574348978,0.643252191601986,0.620047943412914,"768",1
NA,NA,"hsa03273","Virion - Lassa virus and SFTS virus","1/72","17/9507",0.0588235294117647,7.7671568627451,2.439449314235,0.121330574348978,0.643252191601986,0.620047943412914,"4629",1
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","2/72","81/9507",0.0246913580246914,3.26028806584362,1.78458313601714,0.125291104334926,0.643252191601986,0.620047943412914,"7378/1571",2
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","2/72","85/9507",0.0235294117647059,3.10686274509804,1.70438756734969,0.135483545915865,0.643252191601986,0.620047943412914,"7378/5169",2
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","3/72","169/9507",0.0177514792899408,2.3439349112426,1.53988700550213,0.136156811305906,0.643252191601986,0.620047943412914,"5588/596/116442",3
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","3/72","170/9507",0.0176470588235294,2.33014705882353,1.52867316102886,0.137889413838494,0.643252191601986,0.620047943412914,"3162/1728/81029",3
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","2/72","87/9507",0.0229885057471264,3.03544061302682,1.66604532232561,0.1406485754407,0.643252191601986,0.620047943412914,"4624/55799",2
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","2/72","87/9507",0.0229885057471264,3.03544061302682,1.66604532232561,0.1406485754407,0.643252191601986,0.620047943412914,"596/10018",2
"Metabolism","Glycan biosynthesis and metabolism","hsa00541","Biosynthesis of various nucleotide sugars","1/72","20/9507",0.05,6.60208333333333,2.19075753112649,0.141180521035553,0.643252191601986,0.620047943412914,"55907",1
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","3/72","173/9507",0.0173410404624277,2.28973988439306,1.49549678787276,0.143132884559294,0.643252191601986,0.620047943412914,"728343/56001/4938",3
