"MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
,"Unclustered","0.6666666666666666","ADH4","false","ADH4"
,"Unclustered","0.0","AVP","false","AVP"
,"Unclustered","0.0","ALDH3A1","false","ALDH3A1"
,"Unclustered","0.6666666666666666","AGO1","false","AGO1"
,"Unclustered","0.6666666666666666","TERF1","false","TERF1"
"Cluster 2","Clustered","2.7","H3C12","false","H3C12"
,"Unclustered","0.0","CAGE1","false","CAGE1"
,"Unclustered","0.0","DKKL1","false","DKKL1"
,"Unclustered","2.0","CBX3","false","CBX3"
"Cluster 2","Clustered","2.4","H4C6","false","H4C6"
,"Unclustered","0.0","CCL17","false","CCL17"
,"Unclustered","0.0","CXCL5","false","CXCL5"
,"Unclustered","0.0","CD247","false","CD247"
,"Unclustered","0.0","HLA-A","false","HLA-A"
,"Unclustered","0.0","CDC42EP5","false","CDC42EP5"
,"Unclustered","0.0","HCN2","false","HCN2"
,"Unclustered","0.0","CISH","false","CISH"
,"Unclustered","0.0","SPSB4","false","SPSB4"
,"Unclustered","0.6666666666666666","ERBB4","false","ERBB4"
,"Unclustered","2.0","NCOR1","false","NCOR1"
,"Unclustered","0.0","FGF3","false","FGF3"
,"Unclustered","0.0","GRXCR2","false","GRXCR2"
,"Unclustered","0.6666666666666666","MYO7A","false","MYO7A"
"Cluster 2","Clustered","2.7","H2AC12","false","H2AC12"
"Cluster 3","Clustered","4.0","H2AC8","true","H2AC8"
"Cluster 2","Clustered","2.7","H2AC21","false","H2AC21"
"Cluster 2","Seed","2.857142857142857","H2AC13","false","H2AC13"
,"Unclustered","2.0","TERT","false","TERT"
"Cluster 3","Clustered","3.238095238095238","POLR2H","true","POLR2H"
"Cluster 3","Clustered","3.238095238095238","POLR2F","true","POLR2F"
"Cluster 3","Clustered","4.0","MED15","true","MED15"
"Cluster 3","Seed","4.0","MED29","true","MED29"
,"Unclustered","0.0","KCNQ2","false","KCNQ2"
,"Unclustered","0.0","KCNT1","false","KCNT1"
,"Unclustered","2.0","KCTD19","false","KCTD19"
"Cluster 1","Clustered","4.0","RPL31","false","RPL31"
"Cluster 1","Clustered","4.0","RPL13","false","RPL13"
,"Unclustered","2.0","QKI","false","QKI"
,"Unclustered","0.0","MRPL57","false","MRPL57"
,"Unclustered","0.5","MRPS16","false","MRPS16"
,"Unclustered","0.0","PRAMEF5","false","PRAMEF5"
,"Unclustered","0.0","MTRNR2L1","false","MTRNR2L1"
,"Unclustered","0.0","MTRNR2L12","false","MTRNR2L12"
,"Unclustered","0.0","MUC12","false","MUC12"
,"Unclustered","0.0","MUC6","false","MUC6"
,"Unclustered","0.0","OMP","false","OMP"
,"Unclustered","0.0","PIAS4","false","PIAS4"
,"Unclustered","0.0","VHL","false","VHL"
,"Unclustered","0.6666666666666666","PSMC1","false","PSMC1"
,"Unclustered","0.0","PSMD10","false","PSMD10"
"Cluster 1","Clustered","4.0","RPS12","false","RPS12"
,"Unclustered","0.0","PTK2B","false","PTK2B"
,"Unclustered","0.0","TLN2","false","TLN2"
"Cluster 1","Clustered","4.0","TPT1","false","TPT1"
"Cluster 1","Seed","4.0","RPLP2","false","RPLP2"
,"Unclustered","0.0","TAT","false","TAT"
,"Unclustered","0.0","TPO","false","TPO"
