"MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
,"Unclustered","0.0","AHNAK2","false","AHNAK2"
,"Unclustered","0.0","AHNAK","false","AHNAK"
,"Unclustered","2.0","AHCYL1","false","AHCYL1"
,"Unclustered","2.0","AHCYL2","false","AHCYL2"
,"Unclustered","2.0","AGTRAP","false","AGTRAP"
"Cluster 13","Clustered","3.0","AGO4","false","AGO4"
"Cluster 13","Clustered","3.0","AGO3","false","AGO3"
"Cluster 13","Clustered","3.0","AGO1","false","AGO1"
"Cluster 3","Clustered","5.0","AGPAT1","false","AGPAT1"
"Cluster 3","Clustered","5.0","AGPAT2","false","AGPAT2"
"Cluster 3","Clustered","5.0","AGPAT4","false","AGPAT4"
"Cluster 3","Clustered","5.0","AGPAT3","false","AGPAT3"
"Cluster 3","Clustered","5.0","AGPAT5","false","AGPAT5"
"Cluster 3","Seed","5.0","AGK","false","AGK"
,"Unclustered","0.0","AFP","false","AFP"
"Cluster 18","Clustered","2.0","AFF3","false","AFF3"
"Cluster 18","Clustered","2.0","AFF4","false","AFF4"
"Cluster 21","Clustered","2.0","ADSS2","false","ADSS2"
"Cluster 21","Clustered","2.0","ADSS1","false","ADSS1"
,"Unclustered","0.6666666666666666","ADRA2C","false","ADRA2C"
"Cluster 15","Clustered","3.0","ADRA1D","false","ADRA1D"
"Cluster 15","Clustered","3.0","ADRA1B","false","ADRA1B"
"Cluster 15","Seed","3.0","ADRA1A","false","ADRA1A"
,"Unclustered","0.0","ADORA3","false","ADORA3"
,"Unclustered","0.0","ADM5","false","ADM5"
,"Unclustered","0.6666666666666666","ADM2","false","ADM2"
,"Unclustered","2.0","ADIPOR2","false","ADIPOR2"
,"Unclustered","2.0","ADRB3","false","ADRB3"
,"Unclustered","2.0","ADIPOR1","false","ADIPOR1"
,"Unclustered","0.0","AGRP","false","AGRP"
,"Unclustered","0.6666666666666666","AGXT","false","AGXT"
,"Unclustered","0.0","ADH5","false","ADH5"
,"Unclustered","2.0","ADH4","false","ADH4"
,"Unclustered","2.0","ADH7","false","ADH7"
"Cluster 8","Clustered","2.7","ADH1B","false","ADH1B"
"Cluster 8","Clustered","3.0","ADH1C","false","ADH1C"
"Cluster 8","Clustered","2.7","ADHFE1","false","ADHFE1"
"Cluster 8","Seed","3.0","ADH6","false","ADH6"
"Cluster 8","Clustered","2.7","ADH1A","false","ADH1A"
,"Unclustered","0.0","ADGRA3","false","ADGRA3"
,"Unclustered","0.6666666666666666","ADGRL1","false","ADGRL1"
,"Unclustered","0.0","ADGRA2","false","ADGRA2"
"Cluster 20","Clustered","2.0","ADD3","false","ADD3"
"Cluster 20","Clustered","2.0","ADD2","false","ADD2"
,"Unclustered","0.0","ADCYAP1R1","false","ADCYAP1R1"
,"Unclustered","2.0","ADRB1","false","ADRB1"
,"Unclustered","0.5","ADCYAP1","false","ADCYAP1"
,"Unclustered","1.2","ADRB2","false","ADRB2"
,"Unclustered","2.0","ADORA2B","false","ADORA2B"
,"Unclustered","0.6666666666666666","ADRA2A","false","ADRA2A"
"Cluster 7","Clustered","4.0","ADCY4","false","ADCY4"
"Cluster 7","Clustered","4.0","ADCY5","false","ADCY5"
"Cluster 7","Clustered","4.0","ADCY6","false","ADCY6"
,"Unclustered","2.4000000000000004","ADCY3","false","ADCY3"
"Cluster 7","Clustered","4.0","ADCY7","false","ADCY7"
,"Unclustered","2.0","ADCY2","false","ADCY2"
"Cluster 7","Seed","4.0","ADCY9","false","ADCY9"
,"Unclustered","3.0","ADCY8","false","ADCY8"
,"Unclustered","1.4","ADCY1","false","ADCY1"
"Cluster 16","Clustered","2.0","ADAT2","false","ADAT2"
"Cluster 16","Clustered","2.0","ADAT3","false","ADAT3"
"Cluster 13","Seed","3.0","AGO2","false","AGO2"
,"Unclustered","0.0","ADAM28","false","ADAM28"
,"Unclustered","0.0","ADAM23","false","ADAM23"
,"Unclustered","0.6666666666666666","ADAM22","false","ADAM22"
"Cluster 12","Clustered","3.0","ADAM20","false","ADAM20"
"Cluster 12","Clustered","3.0","ADAM21","false","ADAM21"
"Cluster 12","Clustered","3.0","ADAM30","false","ADAM30"
"Cluster 12","Seed","3.0","ADAM2","false","ADAM2"
,"Unclustered","0.6666666666666666","ADAM10","false","ADAM10"
,"Unclustered","1.6666666666666667","ADK","false","ADK"
,"Unclustered","2.0","ADA2","false","ADA2"
,"Unclustered","1.2","ADORA2A","false","ADORA2A"
,"Unclustered","0.0","ADARB2","false","ADARB2"
,"Unclustered","0.5","ADAR","false","ADAR"
,"Unclustered","2.0","ADORA1","false","ADORA1"
,"Unclustered","0.0","ADARB1","false","ADARB1"
,"Unclustered","1.2","AHCY","false","AHCY"
,"Unclustered","1.0666666666666667","ADA","false","ADA"
,"Unclustered","0.0","ACY3","false","ACY3"
,"Unclustered","0.0","ACY1","false","ACY1"
"Cluster 6","Clustered","4.0","ACVR1B","false","ACVR1B"
,"Unclustered","3.0","ACVRL1","false","ACVRL1"
"Cluster 6","Clustered","4.0","ACVR1C","false","ACVR1C"
"Cluster 6","Clustered","4.0","ACVR2A","false","ACVR2A"
,"Unclustered","2.0","ACTR1B","false","ACTR1B"
,"Unclustered","0.0","ACTL9","false","ACTL9"
,"Unclustered","0.0","ACTL8","false","ACTL8"
,"Unclustered","0.0","ACTL7B","false","ACTL7B"
,"Unclustered","0.0","ACTL7A","false","ACTL7A"
,"Unclustered","2.0","ACTR6","false","ACTR6"
,"Unclustered","0.0","ACTL10","false","ACTL10"
"Cluster 11","Clustered","2.4000000000000004","ACTL6A","false","ACTL6A"
"Cluster 11","Clustered","2.7","ACTN1","false","ACTN1"
,"Unclustered","3.0","ACTR1A","false","ACTR1A"
,"Unclustered","2.0","AFDN","false","AFDN"
"Cluster 11","Clustered","2.7","ACTR8","false","ACTR8"
"Cluster 10","Seed","4.0","ACTR3B","false","ACTR3B"
"Cluster 11","Clustered","2.7","ACTN4","false","ACTN4"
,"Unclustered","3.0","ACTR3C","false","ACTR3C"
"Cluster 11","Seed","3.0","ACTR5","false","ACTR5"
"Cluster 11","Clustered","2.7","ACTL6B","false","ACTL6B"
"Cluster 9","Clustered","4.0","ACTG2","false","ACTG2"
"Cluster 10","Clustered","3.7333333333333334","ACTG1","false","ACTG1"
,"Unclustered","1.6666666666666667","ACTN3","false","ACTN3"
,"Unclustered","1.8214285714285712","ACTN2","false","ACTN2"
"Cluster 6","Clustered","4.0","ACVR2B","false","ACVR2B"
"Cluster 9","Clustered","3.238095238095238","ACTC1","false","ACTC1"
"Cluster 9","Clustered","4.0","ACTR10","false","ACTR10"
"Cluster 9","Seed","4.0","ACTA2","false","ACTA2"
,"Unclustered","2.311111111111111","ACTA1","false","ACTA1"
,"Unclustered","2.4000000000000004","ACSBG2","false","ACSBG2"
"Cluster 6","Seed","4.0","ACVR1","false","ACVR1"
,"Unclustered","0.0","ACRV1","false","ACRV1"
,"Unclustered","0.0","ACOXL","false","ACOXL"
,"Unclustered","1.6666666666666667","ACOT4","false","ACOT4"
,"Unclustered","2.0","ACOT9","false","ACOT9"
,"Unclustered","1.2","ACOT2","false","ACOT2"
,"Unclustered","2.0","ACOT7","false","ACOT7"
,"Unclustered","1.6666666666666667","ACOT8","false","ACOT8"
,"Unclustered","4.0","ACYP1","false","ACYP1"
,"Unclustered","4.0","ACYP2","false","ACYP2"
,"Unclustered","0.4","ACOT13","false","ACOT13"
,"Unclustered","0.0","ACOT11","false","ACOT11"
,"Unclustered","0.0","AFG3L2","false","AFG3L2"
"Cluster 21","Seed","2.0","ADSL","false","ADSL"
,"Unclustered","0.5","ADM","false","ADM"
,"Unclustered","0.0","ACKR3","false","ACKR3"
,"Unclustered","0.0","ACKR2","false","ACKR2"
,"Unclustered","0.0","ACKR4","false","ACKR4"
,"Unclustered","0.6666666666666666","ACKR1","false","ACKR1"
,"Unclustered","0.0","AGRN","false","AGRN"
,"Unclustered","0.0","ACER2","false","ACER2"
,"Unclustered","0.0","ACER1","false","ACER1"
"Cluster 5","Clustered","4.0","AGT","false","AGT"
"Cluster 5","Clustered","4.0","AGTR1","false","AGTR1"
"Cluster 5","Clustered","4.0","AGTR2","false","AGTR2"
,"Unclustered","2.0","ADAM17","false","ADAM17"
"Cluster 11","Clustered","2.5555555555555554","ACTB","false","ACTB"
,"Unclustered","0.6666666666666666","ACHE","false","ACHE"
"Cluster 20","Seed","2.0","ADD1","false","ADD1"
"Cluster 5","Clustered","4.0","ACE","false","ACE"
,"Unclustered","0.0","ADAMTS9","false","ADAMTS9"
,"Unclustered","0.0","ADAMTS4","false","ADAMTS4"
,"Unclustered","0.0","ADAMTS3","false","ADAMTS3"
,"Unclustered","0.0","ADAMTS5","false","ADAMTS5"
,"Unclustered","0.0","ADAMTS1","false","ADAMTS1"
,"Unclustered","0.3333333333333333","ACAN","false","ACAN"
,"Unclustered","0.0","ACSM3","false","ACSM3"
,"Unclustered","2.0","ACSM2B","false","ACSM2B"
,"Unclustered","2.0","ACSM2A","false","ACSM2A"
,"Unclustered","0.0","ACSM5","false","ACSM5"
,"Unclustered","0.0","ACSM1","false","ACSM1"
,"Unclustered","1.2","ADIPOQ","false","ADIPOQ"
"Cluster 14","Clustered","5.5","ACACB","false","ACACB"
"Cluster 14","Seed","6.0","ACOT12","false","ACOT12"
"Cluster 14","Clustered","5.5","ACACA","false","ACACA"
,"Unclustered","3.0","ACAD8","false","ACAD8"
,"Unclustered","1.6666666666666667","ACO2","false","ACO2"
"Cluster 1","Clustered","7.0","ACADSB","false","ACADSB"
,"Unclustered","5.571428571428571","ACADVL","false","ACADVL"
"Cluster 14","Clustered","5.333333333333333","ACLY","false","ACLY"
,"Unclustered","2.0","ACAD9","false","ACAD9"
"Cluster 4","Clustered","4.0","ACOX2","false","ACOX2"
"Cluster 1","Clustered","8.0","ACAA2","false","ACAA2"
,"Unclustered","5.785714285714286","ACADL","false","ACADL"
"Cluster 1","Clustered","8.0","ACAA1","false","ACAA1"
,"Unclustered","0.0","ABLIM2","false","ABLIM2"
"Cluster 19","Clustered","2.0","ABLIM3","false","ABLIM3"
"Cluster 19","Clustered","2.0","ABRA","false","ABRA"
"Cluster 19","Seed","2.0","ABLIM1","false","ABLIM1"
"Cluster 18","Clustered","2.0","AFF1","false","AFF1"
,"Unclustered","0.0","AHI1","false","AHI1"
,"Unclustered","0.0","ABI3BP","false","ABI3BP"
,"Unclustered","2.0","ABL2","false","ABL2"
"Cluster 10","Clustered","3.7333333333333334","ACTR2","false","ACTR2"
,"Unclustered","1.6666666666666667","ABL1","false","ABL1"
,"Unclustered","1.4","ABI2","false","ABI2"
"Cluster 10","Clustered","3.7333333333333334","ACTR3","false","ACTR3"
,"Unclustered","2.0","ABI3","false","ABI3"
,"Unclustered","1.0666666666666667","ABI1","false","ABI1"
,"Unclustered","0.0","ABHD16A","false","ABHD16A"
"Cluster 17","Clustered","2.0","ABHD4","false","ABHD4"
"Cluster 17","Clustered","2.0","ABHD6","false","ABHD6"
"Cluster 17","Seed","2.0","ABHD12","false","ABHD12"
,"Unclustered","0.0","ABCF1","false","ABCF1"
,"Unclustered","0.6666666666666666","ABCE1","false","ABCE1"
"Cluster 4","Clustered","4.0","ABCD3","false","ABCD3"
,"Unclustered","3.0","ABCD2","false","ABCD2"
"Cluster 4","Clustered","3.4285714285714284","ACSBG1","false","ACSBG1"
,"Unclustered","2.0","ACBD5","false","ACBD5"
,"Unclustered","0.6666666666666666","AGPS","false","AGPS"
