gene,logFC,P.Value,adj.P.Val
A1BG,0.0203875000000009,0.878281426995997,0.999986929681086
A1BG-AS1,0.0530349999999986,0.706410822925842,0.999986929681086
A1CF,-0.0753000000000004,0.42789625026909,0.999986929681086
A2M,-0.0592625000000009,0.727559259414547,0.999986929681086
A2M-AS1,-0.223562499999999,0.514898114727721,0.999986929681086
A2ML1,-0.0925774999999986,0.46100338724552,0.999986929681086
A4GALT,-0.264567499999999,0.0175266494643251,0.999986929681086
A4GNT,-0.0115499999999997,0.908346494992574,0.999986929681086
AA06,0.03681,0.765854323312121,0.999986929681086
AAAS,-0.0548150000000014,0.703203738925023,0.999986929681086
AACS,-0.139564999999997,0.426569033442899,0.999986929681086
AACSP1,0.0674874999999986,0.536034562144336,0.999986929681086
AADAC,-0.777377500000002,0.418338819361305,0.999986929681086
AADACL2,-0.0611875,0.516102613595861,0.999986929681086
AADACP1,-0.173192500000001,0.144817293077027,0.999986929681086
AADAT,-0.0666975000000001,0.665984097899831,0.999986929681086
AAGAB,0.130880000000003,0.366221139626084,0.999986929681086
AAK1,0.125982500000001,0.308450811826035,0.999986929681086
AAMDC,0.0821400000000025,0.55717934440957,0.999986929681086
AAMP,-0.0768700000000049,0.445985201808696,0.999986929681086
AANAT,0.0960674999999993,0.412998797649204,0.999986929681086
AAR2,-0.0723275000000001,0.558039653304551,0.999986929681086
AARS1,-0.233287500000001,0.107611325289781,0.999986929681086
AARS2,-0.179439999999998,0.196280846463555,0.999986929681086
AARSD1,-0.0468350000000015,0.764895606032288,0.999986929681086
AASDH,0.179542499999999,0.471588941951091,0.999986929681086
AASDHPPT,-0.113607500000001,0.35864850233541,0.999986929681086
AASS,0.205899999999999,0.224829619631569,0.999986929681086
AATBC,-0.184982499999998,0.120205730845421,0.999986929681086
AATF,0.370094999999999,0.0501694499794628,0.999986929681086
AATK,0.0901224999999997,0.309751323349117,0.999986929681086
ABAT,0.117095,0.595790385053453,0.999986929681086
ABCA1,-0.4231625,0.211505764451933,0.999986929681086
ABCA11P,0.0594825000000005,0.77587745221361,0.999986929681086
ABCA12,0.0396450000000015,0.740364281865156,0.999986929681086
ABCA13,-0.0512075000000007,0.634872626237344,0.999986929681086
ABCA17P,-0.1341275,0.225889194419711,0.999986929681086
ABCA2,0.161724999999999,0.120962658508834,0.999986929681086
ABCA3,-0.151392499999997,0.254559539979682,0.999986929681086
ABCA4,0.169404999999999,0.125769902904537,0.999986929681086
ABCA5,-0.203609999999999,0.278568099842672,0.999986929681086
ABCA6,-0.307107499999998,0.551526156712496,0.999986929681086
ABCA7,-0.183779999999999,0.222639260118619,0.999986929681086
ABCA8,0.108172499999998,0.467125491554663,0.999986929681086
ABCA9,0.308342499999999,0.190777753078263,0.999986929681086
ABCB1,-0.139727500000001,0.35661664472965,0.999986929681086
ABCB10,0.121042499999998,0.614117966532042,0.999986929681086
ABCB11,0.28342,0.0910486276846612,0.999986929681086
ABCB4,-0.170792499999998,0.229343369109849,0.999986929681086
ABCB5,-0.153174999999999,0.201346723686669,0.999986929681086
ABCB6,0.0907474999999973,0.689841944587146,0.999986929681086
ABCB7,-0.115662500000001,0.572430614479368,0.999986929681086
ABCB8,-0.0931799999999976,0.362164159931517,0.999986929681086
ABCB9,0.1442475,0.191282099766527,0.999986929681086
ABCC1,0.0228150000000014,0.86107271640357,0.999986929681086
ABCC10,-0.0535049999999995,0.654161877739611,0.999986929681086
ABCC11,0.117025000000002,0.479317414284823,0.999986929681086
ABCC12,-0.234925,0.091840987484693,0.999986929681086
ABCC13,0.089929999999999,0.425361680281907,0.999986929681086
ABCC2,0.0365225000000011,0.906321285999032,0.999986929681086
ABCC3,-0.255599999999998,0.0698588471615457,0.999986929681086
ABCC4,0.108965000000001,0.412739980825167,0.999986929681086
ABCC5,-0.335825,0.0959123311958213,0.999986929681086
ABCC6,-0.0493324999999993,0.617148970825321,0.999986929681086
ABCC6P1,-0.0693425000000003,0.490291711938642,0.999986929681086
ABCC8,-0.121657500000001,0.379156550813077,0.999986929681086
ABCC9,-0.175612500000002,0.106237861104871,0.999986929681086
ABCD1,-0.04575,0.758614099139196,0.999986929681086
ABCD2,0.110677499999999,0.346093194278018,0.999986929681086
ABCD3,0.1307425,0.589396995740261,0.999986929681086
ABCD4,0.0167025000000001,0.891453573949391,0.999986929681086
ABCE1,0.188184999999997,0.197180946203551,0.999986929681086
ABCF1,-0.155329999999999,0.115608618832215,0.999986929681086
ABCF2,-0.1043325,0.314269822330661,0.999986929681086
ABCF2-H2BK1,-0.238125,0.143878308841594,0.999986929681086
ABCF3,-0.048960000000001,0.714832589871585,0.999986929681086
ABCG1,-0.239250000000001,0.10446117949962,0.999986929681086
ABCG2,-0.270544999999999,0.0448334745278675,0.999986929681086
ABCG4,0.0409950000000006,0.756659526973094,0.999986929681086
ABCG5,-0.0395424999999996,0.795501296937472,0.999986929681086
ABCG8,0.0167999999999981,0.878406075547688,0.999986929681086
ABHD1,0.142114999999998,0.201185102144757,0.999986929681086
ABHD10,0.214224999999997,0.212022536501628,0.999986929681086
ABHD11,-0.110397500000001,0.402938428398721,0.999986929681086
ABHD12,0.236794999999999,0.145369571101106,0.999986929681086
ABHD12B,-0.0784600000000006,0.486846021304032,0.999986929681086
ABHD13,-0.24558,0.519376699703479,0.999986929681086
ABHD14A,0.0331975000000035,0.774921021214268,0.999986929681086
ABHD14B,-0.125959999999999,0.36583641819118,0.999986929681086
ABHD15,0.108945000000001,0.649470570711709,0.999986929681086
ABHD16A,0.168907499999999,0.361723736961539,0.999986929681086
ABHD16B,0.196459999999999,0.149427891500203,0.999986929681086
ABHD17A,0.113424999999999,0.56031618968073,0.999986929681086
ABHD17B,-0.132942500000002,0.205544169104292,0.999986929681086
ABHD17C,0.0206324999999961,0.92632409064592,0.999986929681086
ABHD18,-0.202957499999998,0.347445307847929,0.999986929681086
ABHD2,-0.514949999999999,0.0880210150534631,0.999986929681086
ABHD3,0.0876175000000003,0.71656575300375,0.999986929681086
ABHD4,0.125045000000002,0.533714580662577,0.999986929681086
ABHD5,-0.275995,0.221707243346671,0.999986929681086
ABHD6,-0.404259999999999,0.00285602102876589,0.999986929681086
ABHD8,-0.0317374999999984,0.747742913271769,0.999986929681086
ABI1,0.14558,0.279852737545642,0.999986929681086
ABI2,0.383459999999997,0.0155261674615629,0.999986929681086
ABI3,0.0372375000000025,0.723326182286284,0.999986929681086
ABI3BP,0.2906,0.250020869442784,0.999986929681086
ABITRAM,0.0441475000000011,0.813012705151299,0.999986929681086
ABL1,-0.0646100000000018,0.79739833107967,0.999986929681086
ABL2,-0.236890000000001,0.0831050742829235,0.999986929681086
ABLIM1,0.512617499999998,0.0389066291128733,0.999986929681086
ABLIM2,0.127792499999998,0.469865181205712,0.999986929681086
ABLIM3,0.015012500000001,0.89440689245753,0.999986929681086
ABO,-0.139067500000001,0.365695185547535,0.999986929681086
ABR,-0.186960000000001,0.273280399372936,0.999986929681086
ABRA,-0.159842500000001,0.322691718674391,0.999986929681086
ABRACL,0.0411374999999978,0.824977523198077,0.999986929681086
ABRAXAS1,-0.0986250000000002,0.722276937785086,0.999986929681086
ABRAXAS2,0.127244999999995,0.423026187969275,0.999986929681086
ABT1,-0.103637500000001,0.309693381847187,0.999986929681086
ABTB1,-0.249644999999999,0.0743467965252806,0.999986929681086
ABTB2,0.17971,0.0952024191086023,0.999986929681086
ABTB3,0.200037500000001,0.714598702775199,0.999986929681086
ACAA1,-0.0804200000000019,0.452007108624194,0.999986929681086
ACAA2,0.0802725000000013,0.400684936605548,0.999986929681086
ACACA,-0.230855,0.210940596546962,0.999986929681086
ACACB,-0.137579999999999,0.31243037009474,0.999986929681086
ACAD10,-0.225317500000001,0.0816796889577843,0.999986929681086
ACAD11,-0.137222500000002,0.566593018308446,0.999986929681086
ACAD8,-0.164962499999997,0.379107551660925,0.999986929681086
ACAD9,-0.0720449999999992,0.485348409910082,0.999986929681086
ACADL,-0.2300775,0.511359925752775,0.999986929681086
ACADM,-0.0146825000000028,0.964169940142688,0.999986929681086
ACADS,0.192332500000001,0.148313299880739,0.999986929681086
ACADSB,-0.232629999999999,0.474686542701942,0.999986929681086
ACADVL,0.0737499999999969,0.550208848732911,0.999986929681086
ACAN,1.617305,0.000492268925144586,0.999986929681086
ACAP1,0.213357500000001,0.0647639530651301,0.999986929681086
ACAP2,0.161445,0.45562252068989,0.999986929681086
ACAP3,-0.294174999999999,0.0513291710086749,0.999986929681086
ACAT1,-0.283922500000001,0.0706489918432663,0.999986929681086
ACAT2,-0.10425,0.743634358921776,0.999986929681086
ACBD3,-0.0945749999999972,0.736168088818524,0.999986929681086
ACBD4,-0.00180500000000094,0.985461861206919,0.999986929681086
ACBD5,-0.070994999999999,0.718669110630424,0.999986929681086
ACBD6,-0.237535000000001,0.115283051995394,0.999986929681086
ACCS,-0.363467499999999,0.089482318755787,0.999986929681086
ACD,0.0869324999999979,0.705192421078985,0.999986929681086
ACE,0.0957025000000007,0.438851619833659,0.999986929681086
ACE2,-0.0233675000000009,0.855851887550604,0.999986929681086
ACER1,0.0119749999999978,0.917828325060336,0.999986929681086
ACER2,-0.274012499999998,0.436340660011585,0.999986929681086
ACER3,-0.18413,0.31862328425133,0.999986929681086
ACHE,0.197005000000001,0.170048993131198,0.999986929681086
ACIN1,-0.204357499999999,0.0614957895438402,0.999986929681086
ACKR1,0.167907499999999,0.147212845735642,0.999986929681086
ACKR2,-0.0943174999999989,0.398856378122636,0.999986929681086
ACKR3,-0.538545000000001,0.160007277923894,0.999986929681086
ACKR4,0.569302499999999,0.199258635483322,0.999986929681086
ACKR5,0.0169924999999989,0.854461535539039,0.999986929681086
ACLY,-0.0941424999999967,0.802222277799167,0.999986929681086
ACMSD,0.0901999999999989,0.407266740271559,0.999986929681086
ACO1,-0.116487500000002,0.321388663820991,0.999986929681086
ACO2,-0.145454999999998,0.239543377050629,0.999986929681086
ACOD1,0.0567974999999992,0.636630214076805,0.999986929681086
ACOT11,0.0784900000000004,0.430646522947522,0.999986929681086
ACOT12,0.0728650000000015,0.542146563173751,0.999986929681086
ACOT13,-0.0298425000000009,0.911168710746022,0.999986929681086
ACOT2,-0.0535424999999989,0.796581867793303,0.999986929681086
ACOT4,0.212762500000002,0.434793188395138,0.999986929681086
ACOT6,-0.0672849999999983,0.639903039347488,0.999986929681086
ACOT7,0.405850000000001,0.086441346486666,0.999986929681086
ACOT8,-0.336144999999998,0.0877541940895063,0.999986929681086
ACOT9,-0.177434999999999,0.127381762385138,0.999986929681086
ACOX1,0.1002275,0.282366251623573,0.999986929681086
ACOX2,0.0806700000000014,0.524046064022423,0.999986929681086
ACOX3,0.0804500000000044,0.565546650793742,0.999986929681086
ACOXL,0.0403474999999975,0.723988948230413,0.999986929681086
ACP1,0.152675,0.502855928994749,0.999986929681086
ACP2,0.0997225000000004,0.286512432419499,0.999986929681086
ACP3,-0.124400000000001,0.310019394587265,0.999986929681086
ACP4,-0.00744249999999713,0.966116217570682,0.999986929681086
ACP5,-0.378105000000001,0.0383587677939435,0.999986929681086
ACP6,0.21707,0.131918593147489,0.999986929681086
ACR,-0.0122150000000012,0.918126780314586,0.999986929681086
ACRBP,0.0582950000000002,0.640452556346174,0.999986929681086
ACRV1,0.101495000000001,0.343972805453748,0.999986929681086
ACSBG1,-0.1260575,0.406184485961832,0.999986929681086
ACSBG2,0.0467500000000012,0.725005599043203,0.999986929681086
ACSF2,-0.1094675,0.47346998805269,0.999986929681086
ACSF3,0.0538399999999992,0.604254817213786,0.999986929681086
ACSL1,-0.231005000000001,0.381273263661055,0.999986929681086
ACSL3,-0.226360000000001,0.560429681599433,0.999986929681086
ACSL4,0.0683774999999986,0.480551867935975,0.999986929681086
ACSL5,-0.7359275,0.0804188539465054,0.999986929681086
ACSL6,0.0596049999999995,0.549113968497344,0.999986929681086
ACSM1,0.0597424999999987,0.625061374816393,0.999986929681086
ACSM2A,0.0818824999999999,0.417429317315447,0.999986929681086
ACSM2B,0.0056074999999991,0.970753765871907,0.999986929681086
ACSM3,0.1034125,0.215727793820286,0.999986929681086
ACSM5,-0.360099999999999,0.040779022524456,0.999986929681086
ACSS1,0.1506825,0.094642023921682,0.999986929681086
ACSS2,-0.1195,0.291881170296607,0.999986929681086
ACSS3,0.480784999999996,0.253142726446991,0.999986929681086
ACTA1,0.150395000000001,0.395539557258092,0.999986929681086
ACTA2,0.138,0.226415547658417,0.999986929681086
ACTA2-AS1,-0.127062499999998,0.383787366910039,0.999986929681086
ACTB,0.221725000000001,0.33443067527658,0.999986929681086
ACTC1,0.663675000000001,0.25557158095202,0.999986929681086
ACTG1,0.0831250000000026,0.484730288287144,0.999986929681086
ACTG1P17,0.0385224999999991,0.740365877567172,0.999986929681086
ACTG1P25,-0.00999249999999829,0.920786179268057,0.999986929681086
ACTG2,0.162030000000001,0.229210360720159,0.999986929681086
ACTL10,0.064639999999998,0.69864097738151,0.999986929681086
ACTL6A,0.115250000000001,0.273210076214925,0.999986929681086
ACTL6B,0.214457499999998,0.154898569597754,0.999986929681086
ACTL7A,0.0522450000000001,0.739689342390118,0.999986929681086
ACTL7B,-0.0912624999999991,0.412292781249906,0.999986929681086
ACTL8,0.0348775000000003,0.724920451214733,0.999986929681086
ACTL9,0.276280000000001,0.182356333024618,0.999986929681086
ACTMAP,-0.191712499999998,0.12033037451582,0.999986929681086
ACTN1,0.132674999999999,0.504411686660836,0.999986929681086
ACTN2,-0.171880000000001,0.316711382894911,0.999986929681086
ACTN3,0.00993750000000126,0.933523654619919,0.999986929681086
ACTN4,0.108949999999998,0.560611121198111,0.999986929681086
ACTR10,0.0432250000000032,0.720240156760147,0.999986929681086
ACTR1A,0.051887500000003,0.732702180626352,0.999986929681086
ACTR1B,0.0212799999999991,0.867184983553471,0.999986929681086
ACTR2,0.247945,0.0485864903478145,0.999986929681086
ACTR3,0.112075000000003,0.246046059862046,0.999986929681086
ACTR3-AS1,0.662305000000001,0.0826059863531408,0.999986929681086
ACTR3B,-0.0953300000000006,0.448956303432896,0.999986929681086
ACTR3BP2,-0.00343249999999795,0.982120215399168,0.999986929681086
ACTR3BP5,0.0102549999999999,0.928797510378298,0.999986929681086
ACTR3BP6,-0.0584399999999992,0.639612874478593,0.999986929681086
ACTR3C,-0.0909925000000005,0.47191876915625,0.999986929681086
ACTR5,-0.323774999999999,0.05533922567841,0.999986929681086
ACTR6,-0.1315725,0.21365169465475,0.999986929681086
ACTR8,0.1715675,0.0749703315863006,0.999986929681086
ACTRT2,0.041757500000001,0.716156990533864,0.999986929681086
ACTRT3,0.0862300000000022,0.508841607531942,0.999986929681086
ACVR1,0.0694250000000007,0.524435350435736,0.999986929681086
ACVR1B,0.0686675000000001,0.476234216474187,0.999986929681086
ACVR1C,0.218805000000001,0.292291979731007,0.999986929681086
ACVR2A,0.0859225000000015,0.599491688277726,0.999986929681086
ACVR2B,-0.136414999999999,0.376834345944423,0.999986929681086
ACVR2B-AS1,0.00716499999999876,0.943722344560435,0.999986929681086
ACVRL1,-0.0970650000000006,0.646129169936,0.999986929681086
ACY1,-0.23241,0.24601754309292,0.999986929681086
ACY3,0.0824925000000025,0.487148185945797,0.999986929681086
ACYP1,-0.195139999999999,0.306491689811453,0.999986929681086
ACYP2,0.183925000000002,0.176792661762915,0.999986929681086
ADA,-0.585814999999997,0.0787585374606902,0.999986929681086
ADA2,-0.581512500000002,0.361264348707173,0.999986929681086
ADAD1,0.0615849999999991,0.489922024640488,0.999986929681086
ADAD2,0.00469500000000078,0.958724066557819,0.999986929681086
ADAD2-AS1,0.0557275000000015,0.542426108766403,0.999986929681086
ADAM10,-0.194265000000001,0.60678237112186,0.999986929681086
ADAM11,0.105232500000001,0.301775691330735,0.999986929681086
ADAM12,-0.310655000000001,0.0253018893684823,0.999986929681086
ADAM15,0.109827500000001,0.499685707126848,0.999986929681086
ADAM17,-0.198124999999998,0.266168009119754,0.999986929681086
ADAM18,0.146307499999999,0.219491295708904,0.999986929681086
ADAM19,-0.317892500000003,0.363340599331114,0.999986929681086
ADAM2,-0.0919825000000003,0.496931403821453,0.999986929681086
ADAM20,0.1367675,0.252159189009123,0.999986929681086
ADAM21,-0.0564299999999998,0.668175464751756,0.999986929681086
ADAM22,-0.195050000000001,0.161203358276501,0.999986929681086
ADAM23,0.108495,0.328916362846954,0.999986929681086
ADAM28,0.168330000000001,0.152896638155023,0.999986929681086
ADAM29,-0.0188500000000014,0.901103948896089,0.999986929681086
ADAM30,-0.150257499999999,0.153734433391747,0.999986929681086
ADAM32,-0.0976150000000002,0.634992127712207,0.999986929681086
ADAM33,-0.614025,0.152417506925088,0.999986929681086
ADAM3A,0.1080275,0.378297294387266,0.999986929681086
ADAM3B,-0.0761224999999994,0.48505403926065,0.999986929681086
ADAM5,0.145004999999999,0.1947478068052,0.999986929681086
ADAM6,0.0837199999999996,0.437274685473161,0.999986929681086
ADAM7,-0.0693174999999986,0.598422821504914,0.999986929681086
ADAM7-AS2,-0.0974800000000009,0.375954373702926,0.999986929681086
ADAM8,0.0835399999999993,0.4804592341071,0.999986929681086
ADAM9,0.0937099999999997,0.512236313475139,0.999986929681086
ADAMDEC1,-0.22254,0.174590984088904,0.999986929681086
ADAMTS1,0.495099999999999,0.0899647321166622,0.999986929681086
ADAMTS10,-0.151809999999999,0.263345461118827,0.999986929681086
ADAMTS12,0.4867375,0.138956064567832,0.999986929681086
ADAMTS13,-0.1219525,0.393984729874276,0.999986929681086
ADAMTS14,0.00659499999999813,0.957569399354347,0.999986929681086
ADAMTS15,0.230865000000001,0.507135346831821,0.999986929681086
ADAMTS16,0.148364999999997,0.31557321170129,0.999986929681086
ADAMTS16-DT,0.344915,0.0249722988290264,0.999986929681086
ADAMTS17,-0.0851500000000005,0.529979611726666,0.999986929681086
ADAMTS18,-0.0185525000000002,0.864107743732101,0.999986929681086
ADAMTS19,-0.0324724999999999,0.710354427394026,0.999986929681086
ADAMTS2,-0.402429999999999,0.0397712470379617,0.999986929681086
ADAMTS20,0.16829,0.199829174015755,0.999986929681086
ADAMTS3,-0.00436250000000094,0.98529508143067,0.999986929681086
ADAMTS4,-0.0180200000000008,0.894177806961773,0.999986929681086
ADAMTS5,-0.9083625,0.0835054380447166,0.999986929681086
ADAMTS6,0.249725000000002,0.194123516649477,0.999986929681086
ADAMTS7,0.224225000000001,0.123125132600534,0.999986929681086
ADAMTS8,0.192615000000001,0.184302435854711,0.999986929681086
ADAMTS9,-0.1510575,0.280063167444061,0.999986929681086
ADAMTS9-AS1,-0.121375,0.298884222468199,0.999986929681086
ADAMTS9-AS2,0.211375,0.15535759970871,0.999986929681086
ADAMTSL1,0.2750375,0.0191849353674369,0.999986929681086
ADAMTSL2,0.091685,0.367186983491078,0.999986929681086
ADAMTSL3,0.041242500000001,0.815719538046359,0.999986929681086
ADAMTSL4,0.05288,0.619737023091709,0.999986929681086
ADAMTSL4-AS2,0.0338824999999989,0.770256302787677,0.999986929681086
ADAMTSL5,0.0472875000000013,0.652952960995356,0.999986929681086
ADAP1,0.15966,0.235858648953824,0.999986929681086
ADAP2,0.108512499999998,0.419584246434259,0.999986929681086
ADAR,-0.0372749999999993,0.728772017322006,0.999986929681086
ADARB1,0.0910199999999977,0.425235579047572,0.999986929681086
ADARB2,0.0917300000000001,0.50217135076089,0.999986929681086
ADARB2-AS1,0.0470474999999988,0.695453982754118,0.999986929681086
ADAT1,0.0466149999999974,0.782953845329122,0.999986929681086
ADAT2,-0.292800000000002,0.295445238447179,0.999986929681086
ADAT3,-0.14869,0.272468015950063,0.999986929681086
ADCK1,-0.0513875000000006,0.619237194039346,0.999986929681086
ADCK2,-0.193264999999999,0.473486687967778,0.999986929681086
ADCK5,-0.0410624999999989,0.71501652451103,0.999986929681086
ADCY1,-0.3423375,0.174683592372123,0.999986929681086
ADCY10,0.106305000000002,0.291613539344083,0.999986929681086
ADCY10P1,0.139982499999999,0.292994742063896,0.999986929681086
ADCY2,-0.242327500000001,0.386284870883777,0.999986929681086
ADCY3,-0.20967,0.129526170701567,0.999986929681086
