#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADH4	AVP	9606.ENSP00000424630	9606.ENSP00000369647	0	0	0	0	0	0	0	0.947	0.947
ADH4	ALDH3A1	9606.ENSP00000424630	9606.ENSP00000411821	0.048	0	0	0	0.109	0	0.706	0.553	0.874
AGO1	TERF1	9606.ENSP00000362300	9606.ENSP00000276603	0	0	0	0	0	0	0	0.779	0.779
AGO1	H3C12	9606.ENSP00000362300	9606.ENSP00000352252	0	0	0	0	0.042	0.059	0.500	0.419	0.703
CAGE1	DKKL1	9606.ENSP00000425493	9606.ENSP00000221498	0	0	0	0	0.044	0	0	0.761	0.761
CBX3	H4C6	9606.ENSP00000336687	9606.ENSP00000244537	0	0	0	0	0.049	0.781	0.500	0.396	0.929
CBX3	H3C12	9606.ENSP00000336687	9606.ENSP00000352252	0	0	0	0	0.068	0.968	0.500	0.990	0.999
CCL17	CXCL5	9606.ENSP00000219244	9606.ENSP00000296027	0	0	0	0	0.083	0	0	0.869	0.875
CD247	HLA-A	9606.ENSP00000354782	9606.ENSP00000379873	0	0	0	0	0.081	0.800	0.500	0.650	0.963
CDC42EP5	HCN2	9606.ENSP00000301200	9606.ENSP00000251287	0	0	0	0	0.769	0	0	0	0.769
CISH	SPSB4	9606.ENSP00000409346	9606.ENSP00000311609	0	0	0	0	0.042	0	0	0.806	0.806
ERBB4	NCOR1	9606.ENSP00000342235	9606.ENSP00000268712	0	0	0	0	0	0.292	0.500	0.683	0.877
ERBB4	FGF3	9606.ENSP00000342235	9606.ENSP00000334122	0	0	0	0	0.068	0	0.650	0.339	0.765
GRXCR2	MYO7A	9606.ENSP00000367214	9606.ENSP00000386331	0	0	0	0	0	0	0.800	0.374	0.869
H2AC12	H4C6	9606.ENSP00000366679	9606.ENSP00000244537	0	0.019	0	0	0.272	0.925	0.400	0.246	0.972
H2AC12	H2AC8	9606.ENSP00000366679	9606.ENSP00000303373	0	0	0.048	0.984	0.199	0.907	0.400	0.047	0.952
H2AC12	H2AC21	9606.ENSP00000366679	9606.ENSP00000332790	0	0	0.049	0.983	0.309	0.800	0.400	0.048	0.911
H2AC12	H2AC13	9606.ENSP00000366679	9606.ENSP00000351589	0	0	0.048	0.985	0.267	0.900	0.400	0.049	0.952
H2AC13	H4C6	9606.ENSP00000351589	9606.ENSP00000244537	0	0.019	0	0	0.441	0.937	0.400	0.560	0.989
H2AC13	H2AC8	9606.ENSP00000351589	9606.ENSP00000303373	0	0	0.048	0.984	0.492	0.907	0.400	0.052	0.969
H2AC13	TERT	9606.ENSP00000351589	9606.ENSP00000309572	0	0	0	0	0.047	0.800	0	0.066	0.806
H2AC13	H2AC21	9606.ENSP00000351589	9606.ENSP00000332790	0	0	0.049	0.983	0.260	0.800	0.400	0.047	0.904
H2AC13	POLR2H	9606.ENSP00000351589	9606.ENSP00000415536	0	0	0	0	0	0.854	0	0	0.854
H2AC13	POLR2F	9606.ENSP00000351589	9606.ENSP00000385725	0	0	0	0	0	0.854	0	0.044	0.855
H2AC13	H3C12	9606.ENSP00000351589	9606.ENSP00000352252	0	0.024	0	0	0.328	0.503	0.400	0.497	0.885
H2AC21	H4C6	9606.ENSP00000332790	9606.ENSP00000244537	0	0.028	0	0	0.367	0.946	0.400	0.333	0.984
H2AC21	H3C12	9606.ENSP00000332790	9606.ENSP00000352252	0	0.036	0	0	0.313	0.326	0.400	0.206	0.750
H2AC8	H4C6	9606.ENSP00000303373	9606.ENSP00000244537	0	0.019	0	0	0.383	0.986	0.540	0.856	0.999
H2AC8	TERT	9606.ENSP00000303373	9606.ENSP00000309572	0	0	0	0	0.042	0.800	0	0.066	0.805
H2AC8	POLR2F	9606.ENSP00000303373	9606.ENSP00000385725	0	0	0	0	0.042	0.854	0.500	0	0.924
